fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
22.6811,11.55,2.3918,0.5761,0.3103,-4.6492,-20.3147,-6.0344,65.647,116.332,0
33.927,18.8015,2.8971,0.3348,0.1777,31.215,26.398,4.4561,21.4167,150.762,1
33.8951,14.4777,2.7928,0.4139,0.2281,15.4364,19.5049,-10.9511,74.7671,130.928,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
41.2345,18.7654,2.9412,0.4123,0.2598,28.9763,25.7643,-14.8291,2.9378,145.672,1
22.6811,11.55,2.3918,0.5761,0.3103,-4.6492,-20.3147,-6.0344,65.647,116.332,0
52.3941,19.6636,3.38,0.2709,0.1536,24.2068,43.4488,-11.0781,8.7641,174.065,1
29.6712,16.2583,2.7075,0.4132,0.2387,17.9264,18.3923,7.8221,45.8212,154.221,0
122.8724,52.6103,3.2355,0.1998,0.1185,112.4682,-51.0987,30.7892,68.905,268.493,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
30.1123,13.9604,2.8761,0.3892,0.2015,39.8092,-7.2184,15.9871,15.9243,189.555,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
55.7291,22.5142,2.8254,0.3126,0.1712,43.9263,21.8593,-11.7654,42.999,202.535,1
34.8923,12.0531,2.6987,0.3816,0.2047,41.9124,17.5045,-11.0842,31.8902,182.905,1
63.7295,26.419,2.9134,0.2472,0.1338,52.8467,52.7204,-17.2362,79.4062,215.091,0
74.0328,29.5417,3.2438,0.1843,0.0972,51.3289,73.2967,16.8137,3.6159,178.2001,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
47.8211,18.7523,2.9865,0.2894,0.1758,29.6789,22.6191,8.9203,42.9374,200.631,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
138.2727,65.5776,3.7058,0.1083,0.07,-34.2407,-51.8359,43.4244,77.8223,358.1938,0
54.321,13.7542,2.8114,0.4293,0.2356,45.2178,16.9423,-10.2766,21.3954,200.176,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
128.5243,50.3696,3.2667,0.2954,0.1742,25.6478,47.1234,-13.5521,15.2873,271.384,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
61.1102,18.2723,2.8916,0.3192,0.1728,48.3716,15.6237,-10.2103,13.8476,256.328,1
45.6723,15.8932,2.6791,0.3802,0.1973,25.4321,18.9023,-11.2345,49.8765,175.324,0
81.7412,29.873,3.1234,0.1923,0.1012,25.6098,30.7507,-9.4483,41.2085,189.327,1
75.1243,30.8952,3.0156,0.3036,0.1452,45.7861,48.9308,-18.9237,67.2403,187.432,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
