season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,1,3,4,0,2,1,2,0.45,0.4242,0.58,0.1343,12,120,132.0
4,1,6,12,0,3,1,2,0.72,0.697,0.58,0.1343,89,420,509.0
4,1,9,14,0,3,1,1,0.65,0.6061,0.55,0.194,123,458,581.0
1,0,2,5,0,3,1,2,0.3,0.2879,0.55,0.2537,10,36,46.0
3,0,10,11,0,4,1,2,0.65,0.6212,0.55,0.194,85,355,440.0
4,0,10,6,0,4,1,2,0.44,0.4394,0.8,0.3582,14,180,194.0
4,1,7,12,0,1,1,2,0.65,0.6212,0.52,0.194,82,318,400.0
1,0,2,5,0,3,1,2,0.3,0.2879,0.6,0.1343,12,55,67.0
4,0,6,12,0,3,1,1,0.72,0.697,0.54,0.1343,90,423,513.0
4,1,12,20,0,3,1,2,0.42,0.4242,0.58,0.2537,12,189,201.0
2,1,4,13,0,2,1,1,0.62,0.6061,0.52,0.1343,50,186,236.0
2,0,6,18,0,1,1,1,0.72,0.6818,0.45,0.1343,62,320,382.0
4,1,9,5,0,2,1,1,0.65,0.6212,0.51,0.1343,30,202,232.0
2,1,8,13,0,4,1,1,0.7,0.6515,0.55,0.1045,72,309,381.0
4,0,11,10,0,0,0,1,0.34,0.303,0.66,0.2985,79,250,329.0
2,0,6,13,0,4,1,1,0.68,0.6364,0.55,0.1642,78,318,396.0
4,0,12,23,0,6,0,2,0.32,0.303,0.8,0.2537,9,51,60.0
1,0,11,15,0,3,1,1,0.42,0.4242,0.54,0.2836,89,318,407.0
4,0,10,7,0,1,1,1,0.62,0.5909,0.52,0.1343,48,215,263.0
4,0,11,7,0,0,1,1,0.52,0.5,0.72,0.2239,10,200,210.0
3,0,7,12,0,6,0,1,0.62,0.6061,0.65,0.1343,30,186,216.0
1,1,2,4,0,3,1,2,0.32,0.303,0.65,0.1343,12,62,74.0
3,1,7,12,0,4,1,1,0.62,0.6061,0.56,0.1343,50,278,328.0
3,1,7,12,0,6,0,1,0.68,0.6364,0.55,0.1343,55,238,293.0
3,0,4,10,0,6,0,1,0.62,0.5909,0.65,0.1343,62,78,140.0
4,0,11,9,0,6,0,1,0.3,0.2879,0.65,0.1045,25,87,112.0
1,1,3,7,0,3,1,1,0.52,0.5,0.72,0.1343,22,191,213.0
1,1,7,12,0,5,1,1,0.68,0.6364,0.57,0.1343,69,242,311.0
3,0,8,14,0,6,0,2,0.68,0.6515,0.55,0.2537,25,155,180.0
1,1,3,7,0,6,0,1,0.62,0.6061,0.58,0.1343,25,188,213.0
