MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,price_above_median
3.7025,24,5.448,1.041,930.0,2.8,34.08,-117.36,1
2.4563,32,4.729,1.101,1297.0,2.345,33.95,-118.2,0
4.9007,17,6.125,1.018,1239.0,2.8,34.2,-118.15,1
2.7835,41,4.653,1.135,1728.0,3.421,37.72,-122.42,0
4.3021,18,5.879,0.995,1219.0,2.892,33.89,-118.3,1
3.5059,26,4.681,1.027,860.0,3.093,33.85,-118.24,0
3.2998,20,5.166,1.053,1342.0,2.455,34.27,-118.43,1
4.6037,16,5.925,1.019,1011.0,3.015,33.93,-117.96,1
2.7754,37,4.916,1.091,1290.0,2.6,33.78,-118.11,0
5.4568,23,6.218,1.013,1222.0,3.154,34.14,-118.15,1
4.0052,19,5.364,1.05,1429.0,2.785,33.93,-117.94,1
3.9427,40,5.789204545454546,0.9801136363636364,1310.0,3.1420454545454546,38.24,-122.25,1
2.3748,33,4.329870298013245,1.0242125984251969,1221.0,2.783112582781457,36.76,-119.37,0
4.8786,16,5.453703703703703,1.025925925925926,1344.0,2.1796296296296296,34.15,-118.74,1
3.1294,24,6.392836920529801,1.0110294117647058,940.0,2.5386029411764706,34.16,-117.94,0
2.3184,33,4.309452736318408,1.0196078431372548,1152.0,3.2091503267973858,33.97,-118.24,0
4.1255,11,6.340314136125654,1.027683615819209,1131.0,3.214765100671141,37.77,-122.4,1
5.1963,18,5.279984721161191,1.001798715203426,1725.0,2.488479262672811,37.88,-122.5,1
3.3703,24,4.775838926174497,1.0263644811438433,1519.0,2.868458274398861,37.53,-122.3,0
4.2681,36,5.118279569892473,0.9682539682539683,1904.0,2.5015873015873016,34.1,-118.22,1
4.256,21,5.288135593220339,1.005084745762712,1577.0,2.51271186440678,34.1,-118.28,1
2.9451,45,4.512963241121896,1.1301605136436597,2635.0,3.0127371273712735,35.71,-118.7,0
4.6981,30,6.200556610236219,1.0237334293948126,1429.0,2.837334396823399,38.26,-122.43,1
3.8002,28,5.809410422782253,1.043327006006407,1450.0,3.247309136214174,36.89,-120.11,1
3.9412,20,5.051095652173913,1.0030945652173913,1260.0,2.8304347826086955,33.84,-117.39,1
5.2683,15,6.282262569832402,1.0216710182767623,1904.0,2.7142857142857144,33.94,-118.32,1
2.4519,35,3.7589285714285716,1.125,902.0,2.4404761904761902,39.57,-121.5,0
3.7499,22,5.079736699279501,1.0351741281244593,1820.0,2.936259143839778,34.21,-119.2,1
3.5007,16,5.821967065073039,1.0663910224981745,2274.0,3.1479372553983445,38.31,-121.44,1
4.2151,10,6.402552447552447,1.0506493506493506,1663.0,2.507142857142857,33.78,-117.92,1
