RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.000286453,36,2,0.021871214,2800.0,5,0,1,1,1,1
0.024561797,45,0,0.236151589,4800.0,8,0,1,0,2,0
0.001354899,50,1,0.019736453,4200.0,7,1,1,0,1,1
0.031672515,63,0,0.315496005,5300.0,9,0,2,0,0,0
0.034719662,41,1,0.082671643,3800.0,6,0,1,0,1,1
0.042153996,37,0,0.116320917,4100.0,7,0,1,0,0,0
0.002371532,65,0,0.125849729,4200.0,9,0,1,0,1,0
0.226377458,47,1,0.368027334,5800.0,7,1,1,0,0,1
0.123124981,28,0,0.207455188,2400.0,4,0,0,0,0,0
0.457026761,53,3,0.735847594,3800.0,10,2,1,0,2,1
0.030589936,40,1,0.582304402,5100.0,8,1,1,0,1,1
0.778665607,54,3,0.890134039,2700.0,6,1,1,0,2,1
0.327521053,55,1,0.211609872,7895.0,8,0,1,0,1,1
0.028614117,43,0,0.163735181,2950.0,4,0,1,0,0,0
0.017232586,37,0,0.22912064,4300.0,7,0,2,0,1,0
0.434290177,49,1,0.731882716,2200.0,3,1,1,0,0,1
0.260004936,42,2,0.45670353,3600.0,5,1,0,0,0,1
0.170495212,29,0,0.34428148,2800.0,6,0,1,0,0,0
0.729878,45,2,0.346901,5280.0,8,2,1,1,2,1
0.023478,35,0,0.112038,2700.0,6,0,1,0,1,0
0.786441,52,1,0.893573,4100.0,9,1,0,1,3,1
0.285126,40,0,0.654321,3500.0,7,0,1,0,0,0
0.918237,29,3,0.830495,2600.0,5,2,0,2,2,1
0.013245,43,0,0.205731,6000.0,10,0,3,0,1,0
0.651982,39,1,0.460121,4300.0,8,0,2,0,2,1
0.284560216,43,1,0.182769975,5595.0,7,1,1,0,2,1
0.07221278,35,0,0.405244476,5400.0,6,0,1,1,1,1
0.180783004,50,2,0.319725065,5750.0,11,2,2,0,2,1
0.093437313,38,1,0.120130218,3722.0,4,1,0,1,1,0
0.147712572,29,0,0.276408989,2325.0,5,0,1,0,0,0
0.052976679,45,0,0.153416138,3664.0,8,0,2,0,1,0
0.284591072,42,0,0.304412888,4502.0,7,0,1,0,1,0
0.10548167,59,1,0.21735229,6900.0,10,0,2,1,2,1
0.745321969,28,0,0.421109531,3500.0,5,2,1,0,0,1
0.278902378,35,1,0.580379585,3200.0,8,0,1,0,0,1
0.791112703,49,2,0.82568979,2200.0,6,2,1,0,1,1
0.155201883,53,0,0.070493789,5700.0,10,0,2,0,0,0
0.027683943,36,0,0.023674875,3800.0,7,0,1,0,1,0
0.105432879,47,1,0.311408931,5400.0,12,0,2,0,0,1
0.446098327,52,2,0.760215192,2800.0,9,1,1,0,2,1
0.018531629,42,0,0.245603881,4200.0,8,0,1,0,1,0
0.258037731,59,1,0.701298084,6700.0,14,1,1,0,2,1
0.143275748,45,0,0.119374601,6000.0,10,0,1,0,1,0
0.036281025,39,0,0.019728382,3001.0,7,0,1,0,1,0
0.083647104,47,1,0.105091726,4978.0,11,0,2,1,1,1
0.177293237,28,0,0.064829731,4000.0,6,0,0,0,0,0
0.356789012,42,1,0.321455678,4250.0,7,0,1,0,1,1
0.123456789,27,0,0.235946781,2898.0,5,0,0,1,2,0
0.567890123,35,2,0.415257892,3550.0,9,1,2,0,0,1
0.678901234,48,0,0.134578923,6000.0,12,0,2,0,0,0
0.432109876,30,1,0.654789123,2800.0,6,1,1,0,0,1
0.345678901,58,1,0.265789123,5400.0,8,0,1,0,1,1
0.021943587,38,1,0.624750012,3100.0,7,0,0,1,0,1
0.320982591,41,2,0.863418443,4200.0,6,1,1,0,1,1
0.095683143,59,0,0.221953741,6700.0,8,0,2,0,0,0
0.691863619,43,1,0.453129861,6400.0,9,0,1,0,1,1
0.224664258,55,0,0.256135966,3500.0,7,0,1,0,0,0
0.489303686,50,2,0.365531129,5700.0,8,0,2,1,1,1
0.23098211,43,1,0.357667982,5821.0,7,0,1,0,1,1
0.67249878,58,0,0.259743151,3864.0,12,1,1,0,0,1
0.01810944,29,0,0.448761282,3080.0,5,0,1,0,0,0
0.81134219,36,1,0.655289373,4000.0,6,0,0,0,0,1
0.22894876,52,0,0.178347493,6900.0,15,0,2,1,1,0
0.44874962,45,1,0.768430474,2500.0,4,1,0,0,2,1
0.769821605,62,1,0.268142487,7402.0,6,0,1,0,1,1
0.322678011,41,0,0.348579744,4300.0,8,1,2,0,2,1
0.908713891,29,3,0.032791512,2580.0,2,0,0,1,1,1
0.025841639,52,0,0.219458875,7100.0,4,0,0,0,0,0
0.121024039,38,1,0.219455987,8000.0,12,0,1,0,0,0
0.898576031,45,2,0.320170395,5850.0,8,1,2,0,1,1
0.68174172,37,3,0.212441895,6500.0,5,1,1,0,1,1
0.40146444,51,1,0.641288378,4500.0,7,0,2,0,0,0
0.370720201,49,0,0.403052426,5250.0,9,0,1,0,2,0
0.658306139,29,1,0.209005623,2900.0,6,1,0,0,0,1
0.15491404,54,0,0.157661528,7500.0,12,0,2,0,1,0
0.364856756,45,2,0.180125739,8000.0,10,0,1,0,2,1
0.7678183,32,0,0.281365297,3800.0,8,2,1,0,0,1
0.736052122,62,0,0.216498376,6400.0,7,0,1,1,0,1
0.457193821,41,1,0.063672939,4900.0,9,0,2,0,1,1
0.838411599,33,2,0.345918712,2800.0,5,1,0,1,0,1
0.756412585,54,0,0.178524626,6200.0,7,1,1,0,1,0
0.367291579,44,1,0.399607318,5400.0,8,0,2,0,1,1
0.612495227,39,3,0.260384169,4300.0,6,0,0,2,0,1
0.867,43,1,0.311,6456.0,7,0,2,0,1,1
0.312,54,0,0.433,5110.0,8,1,1,0,0,1
0.731,59,0,0.568,4020.0,6,0,2,0,1,1
0.023,34,0,0.262,4750.0,9,0,1,0,2,0
0.891,48,1,0.731,6125.0,10,0,0,0,1,1
0.181,40,2,0.207,7300.0,8,0,2,1,1,1
0.765,55,1,0.381,5050.0,7,1,1,0,2,1
0.025,42,2,0.33,4800.0,7,1,2,0,1,1
0.1,33,0,0.25,2800.0,5,0,1,0,0,0
0.35,29,1,0.2,3200.0,4,0,1,0,0,0
0.17,50,2,0.4,4500.0,6,1,2,1,1,1
0.05,39,0,0.3,3200.0,7,0,1,0,0,0
0.06,36,1,0.18,2900.0,4,0,1,0,0,0
0.33,48,1,0.35,4000.0,6,1,2,1,1,1
0.028,42,2,0.35,6000.0,12,1,1,0,1,1
0.15,28,1,0.18,2400.0,6,0,0,0,0,0
0.005,55,0,0.12,4000.0,9,0,1,0,2,0
0.4,35,1,0.25,3200.0,7,0,1,1,1,1
0.68,46,2,0.57,5800.0,10,0,2,0,1,1
0.122,52,1,0.376,4100.0,9,0,2,0,1,1
0.045,41,0,0.235,2900.0,6,1,0,0,0,0
0.322,35,2,0.548,3500.0,4,1,1,1,2,1
0.178,29,1,0.123,1800.0,2,0,0,0,0,0
