date,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.213832,0.765957,0.033657,0.376905,0.002573,0.418465,0.456912,1
0.660493,0.531915,0.055337,0.454266,0.003279,0.365281,0.511328,0
0.739057,0.234043,0.087124,0.296512,0.003783,0.466874,0.612908,0
0.159785,0.308511,0.038194,0.388765,0.002146,0.395028,0.487325,1
0.990181,0.446809,0.042707,0.241545,0.002939,0.227615,0.509072,1
0.637418,0.542553,0.043596,0.591023,0.004025,0.380613,0.522195,0
0.963012,0.702128,0.077295,0.478931,0.003608,0.529192,0.389021,0
0.874723,0.308511,0.038194,0.388765,0.002146,0.395028,0.487325,1
0.797354,0.255319,0.050839,0.382196,0.00337,0.474315,0.490743,1
0.053347,0.212766,0.031532,0.463452,0.002149,0.342635,0.623956,0
0.861536,0.617021,0.046922,0.316778,0.003919,0.486457,0.55173,0
0.282097,0.617021,0.046922,0.316778,0.003919,0.486457,0.55173,1
0.150512,0.702128,0.065235,0.408924,0.003111,0.268627,0.515694,0
0.800491,0.170213,0.045893,0.482718,0.002669,0.443096,0.588716,0
0.467808,0.319149,0.026877,0.500355,0.003567,0.383186,0.665417,1
0.215913,0.489362,0.093667,0.452773,0.002447,0.493562,0.371291,0
0.66621,0.148936,0.03469,0.317605,0.003011,0.233578,0.614933,1
0.548303,0.957447,0.058212,0.672379,0.004366,0.721676,0.421806,1
0.218281,0.744681,0.041253,0.312144,0.002077,0.361429,0.584929,0
0.555012,0.87234,0.067438,0.690831,0.004578,0.678261,0.405781,1
0.814377,0.212766,0.028475,0.23192,0.003265,0.323366,0.434481,1
0.416677,0.223404,0.036722,0.235892,0.003376,0.323137,0.413007,0
0.921942,0.553191,0.050188,0.521087,0.004192,0.432049,0.582963,1
0.675688,0.425532,0.045412,0.514401,0.003758,0.563513,0.301055,1
0.103675,0.446809,0.037581,0.527421,0.002276,0.348734,0.568421,1
0.154612,0.446809,0.031686,0.314186,0.001421,0.273641,0.504386,1
0.899164,0.489362,0.067588,0.758021,0.003142,0.602054,0.482456,0
0.769126,0.617021,0.050692,0.567894,0.002763,0.487288,0.463158,0
0.487597,0.191489,0.039125,0.22545,0.002011,0.273641,0.420175,1
0.862165,0.340426,0.07113,0.610341,0.005251,0.647482,0.312719,0
0.261652,0.531915,0.09562,0.266163,0.004152,0.346392,0.589474,1
