lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,label
7274.0,207.0,358.0,80.0,179.0,179.0,401.7325,299.0486,259.2375,62.3379,63.8161,80.0,80.0,678.0,0.0,0.0815,0.0947,0.0286,7,4,1
4422.0,133.0,119.0,179.0,179.0,179.0,200.3897,77.2885,128.6094,68.2261,69.3226,179.0,179.0,0.0,0.0,0.0516,0.0444,0.0324,5,3,0
7764.0,240.0,139.0,139.0,139.0,139.0,238.4225,605.3999,370.0816,70.8843,77.9434,139.0,139.0,0.0,0.0,0.1292,0.0811,0.0272,2,6,1
4258.0,128.0,239.0,139.0,139.0,139.0,308.4923,1003.3821,177.7598,99.5353,92.8419,139.0,139.0,0.0,0.0,0.0278,0.0331,0.0172,2,3,1
4380.0,129.0,139.0,80.0,80.0,139.0,313.8948,267.8127,110.4269,84.2177,86.5125,80.0,80.0,0.0,0.0,0.2284,0.1978,0.0265,4,2,1
6432.0,199.0,110.0,260.0,260.0,145.0,200.3982,350.7197,140.7231,75.4214,60.3856,260.0,130.0,2898.0,389.0,0.2286,0.0953,0.0182,7,5,1
5221.0,160.0,160.0,95.0,95.0,200.0,100.7593,409.8977,160.4881,83.2742,91.3818,95.0,95.0,0.0,0.0,0.3124,0.2175,0.0378,1,3,0
4459.0,135.0,120.0,145.0,145.0,120.0,147.9378,203.4262,136.8397,90.7192,80.3456,145.0,145.0,0.0,0.0,0.1894,0.1298,0.0216,9,2,0
7153.0,216.0,130.0,90.0,90.0,170.0,122.6394,256.4908,160.9421,88.5362,75.9142,90.0,90.0,0.0,0.0,0.2729,0.1834,0.0263,3,4,0
11543.0,359.0,204.0,112.0,112.0,79.0,292.1093,378.1255,133.0629,60.9417,69.8043,112.0,112.0,5899.0,427.0,0.3191,0.1167,0.0166,3,3,1
5237.0,153.0,125.0,158.0,158.0,86.0,180.2365,219.8656,89.4425,39.7572,49.2739,158.0,158.0,0.0,0.0,0.1782,0.0849,0.0268,4,4,0
9945.0,305.0,99.0,139.0,139.0,100.0,36.5034,1050.0501,95.0842,56.932,55.1453,139.0,139.0,0.0,139.0,0.233,0.1175,0.0225,9,1,0
1075.0,33.0,200.0,79.0,79.0,179.0,159.5063,215.6888,158.4063,47.6242,40.3374,79.0,79.0,0.0,0.0,0.0994,0.1492,0.0123,5,2,1
10314.0,315.0,139.0,139.0,139.0,80.0,45.1234,759.3425,218.9067,84.9763,86.7492,139.0,139.0,680.0,139.0,0.2134,0.0862,0.0187,3,5,1
7823.0,241.0,139.0,99.0,99.0,179.0,101.2295,512.7568,97.3581,44.7222,53.6366,99.0,99.0,0.0,0.0,0.1452,0.3014,0.0291,5,2,1
1005.0,30.0,219.0,139.0,139.0,139.0,177.5582,185.024,86.4679,51.8075,65.9134,139.0,139.0,0.0,0.0,0.2015,0.1594,0.0152,8,6,0
3968.0,121.0,139.0,139.0,139.0,119.0,132.8199,342.784,104.758,78.1957,53.4613,139.0,139.0,0.0,0.0,0.1719,0.1029,0.0203,5,3,1
10907.0,322.0,139.0,179.0,139.0,139.0,122.9002,329.6289,65.7216,61.9292,70.3791,179.0,179.0,0.0,0.0,0.2175,0.1156,0.0336,7,2,1
4709.0,147.0,99.0,119.0,119.0,99.0,226.8974,77.3345,114.6655,65.6432,72.3956,119.0,119.0,0.0,0.0,0.1854,0.2726,0.0291,5,6,0
7363.0,225.0,139.0,239.0,239.0,119.0,222.1789,168.0903,66.2451,138.9766,121.4784,239.0,119.5,0.0,0.0,0.1019,0.2572,0.028,6,1,1
5315.0,161.0,99.0,139.0,139.0,139.0,59.7143,111.9313,166.3248,124.1276,140.7791,139.0,139.0,0.0,0.0,0.2053,0.1592,0.0214,5,3,0
6978.0,214.0,179.0,119.0,119.0,139.0,104.257,272.0452,84.5722,50.1569,49.263,119.0,119.0,0.0,0.0,0.0842,0.3254,0.0281,1,1,1
5031.0,154.0,119.0,179.0,179.0,179.0,82.6293,326.9357,65.1935,73.5218,59.4826,179.0,179.0,0.0,0.0,0.1498,0.2184,0.0198,3,2,0
6024.0,180.0,139.0,99.0,99.0,119.0,107.1405,342.6357,151.2951,100.4453,95.2674,99.0,99.0,0.0,0.0,0.1936,0.1087,0.0157,7,1,1
6982.0,214.0,139.0,99.0,99.0,99.0,139.9746,66.1318,22.4112,90.3871,88.9388,99.0,99.0,0.0,0.0,0.1746,0.1355,0.0182,3,4,1
10517.0,321.0,258.0,139.0,139.0,119.0,103.3102,307.2751,177.2484,80.5248,79.3095,139.0,139.0,4533.0,378.0,0.2592,0.1042,0.0139,8,4,0
6133.0,181.0,99.0,358.0,358.0,119.0,216.037,73.6699,181.3339,43.2782,18.868,358.0,358.0,119.0,0.0,-0.0094,0.1366,0.042,1,4,0
2758.0,84.0,219.0,139.0,139.0,259.0,119.3325,66.7271,115.4123,20.2485,26.6833,139.0,139.0,0.0,0.0,1.4612,1.3812,0.0337,1,2,0
