ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
70,180,7,75,22,0,1,90,5,3,25,3,45,3,1,1,20,70,3,4,0,75,0
54,173,8,43,21,0,0,90,5,4,22,2,59,3,1,0,75,67,4,3,1,75,0
45,120,6,60,15,1,1,88,20,3,20,2,25,3,1,1,50,40,2,3,0,75,1
70,150,5,60,20,2,1,90,5,3,25,1,35,2,1,1,20,70,4,4,-1,75,0
70,150,7,60,20,1,1,90,10,5,25,2,35,2,1,1,25,70,4,4,1,85,0
62,163,8,72,21,1,1,90,5,5,28,2,35,0,2,2,20,70,4,4,1,85,1
71,137,6,61,22,1,1,90,5,5,24,2,31,0,1,1,35,72,4,3,0,87,0
55,98,5,42,15,1,0,78,5,4,21,2,55,0,1,1,47,71,3,2,0,85,0
61,155,5,58,21,1,1,89,5,5,22,2,45,3,2,1,22,70,3,2,0,80,0
70,150,5,60,20,1,1,90,10,5,25,3,35,3,2,2,20,70,3,4,1,75,1
70,98,3,45,23,1,0,87,5,5,27,3,55,4,2,1,50,70,4,5,1,75,1
70,107,5,47,23,1,0,94,12,5,25,3,55,-5,1,1,45,68,3,6,1,78,0
70,100,5,45,20,1,0,90,2,6,25,3,50,5,1,1,60,70,4,6,1,85,1
71,102,5,56,23,1,1,95,5,5,27,3,45,3,2,1,60,70,3,5,1,80,1
70,120,5,60,22,1,0,85,5,6,25,3,40,3,2,2,50,70,3,4,1,75,1
70,150,5,60,20,1,0,95,5,6,25,3,50,1,2,1,60,70,3,5,1,75,1
75,87,5,45,23,1,1,95,5,5,28,3,55,3,1,1,60,70,3,4,1,80,1
70,100,5,45,20,1,1,85,5,5,25,3,55,3,1,1,60,70,4,5,1,75,1
70,93,7,45,23,1,1,95,5,5,28,3,50,3,1,1,64,70,4,6,1,85,1
57,72,6,42,22,1,1,95,5,5,23,3,65,3,1,1,65,70,4,5,1,85,1
74,212,7,78,20,1,1,87,4,6,23,2,31,1,1,1,14,-6,2,-6,0,27,1
79,250,6,80,28,1,1,85,5,5,30,2,37,10,1,1,20,-6,3,2,1,60,1
77,200,6,80,23,1,1,85,5,5,26,2,35,3,1,1,20,0,3,1,0,48,0
79,200,6,76,28,1,1,85,5,6,30,1,38,5,2,1,10,10,3,3,0,50,1
72,210,7,82,23,1,1,85,5,5,25,2,35,4,1,1,10,3,3,1,0,44,1
72,210,6,80,20,1,1,85,5,5,22,2,35,4,1,1,20,0,3,2,1,44,1
70,200,6,90,22,1,1,85,5,5,23,2,30,5,1,1,10,10,3,2,0,40,0
