synindex,class,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54
0,0,0.0726331,0.735417,0.305556,0.342692,0.410996,0.671139,0.235383,0.067883,0.676771,80.7752,100.005,125.839,24.6738,28.0434,27.1158,1.01257,0.843874,0.289811,67.5772,-1.38614,-11.5586,7.63209,1.15958,2.33444,0.277985,-0.570456,1.68125,78.9621,0.0861111,1.06574,20.2356,0.46605,12.4652,0.183431,17.1752,-0.661311,163.861,0.202778,165.01,18.2792,0.173878,54.7652,19.2341,81.7236,18.3052,0.563726,0.162957,0.0304112,217.892,-1.67192,44.5303,7.40195,0.153457,1.04859
1,0,0.0968171,0.427083,0.361111,0.178521,0.869588,0.368033,0.299602,0.0368799,0.372233,15.6725,47.531,44.3265,27.8694,24.4722,20.7455,2.85092,2.49217,2.91185,45.0944,-20.1329,-4.19971,10.0063,5.55962,4.95146,1.66607,1.05213,1.2181,85.157,1,0.0792629,18.2042,0.216054,6.59161,0.450225,1.3135,1.48179,46.032,0.377778,102.877,15.8064,-0.318339,10.0638,17.6,139.494,41.6136,0.35103,0.203571,0.0540599,116.49,1.78546,14.5946,2.82054,0.172546,0.257524
2,0,0.125469,0.620833,0.388889,0.740398,0.242403,0.517273,0.33042,0.0349615,0.480321,136.831,140.226,152.145,33.4324,29.2449,20.4859,-0.202001,0.0292917,0.325911,78.5829,0.679994,-4.33478,6.81227,0.74761,4.6193,-0.344705,0.244221,-1.43754,55.0443,0.64375,-3.22862,46.7289,0.104649,21.8487,0.176363,-2.8877,1.04316,134.689,0.229167,125.879,29.0199,0.364562,21.5942,8.26403,116.388,44.4326,0.324498,0.192806,0.0329306,69.3448,-3.51239,43.7667,13.8455,0.0309201,0.483194
3,0,0.158218,0.316667,0.564583,0.594983,0.722873,0.286556,0.563013,0.0261522,0.115039,142.541,140.45,133.6,40.438,39.1203,38.3571,0.449025,0.503767,0.543879,78.2301,-0.3777,2.35375,8.99523,1.52524,3.01713,-0.219139,-2.74058,2.04148,72.0114,0.125,5.92085,60.3935,0.536021,10.8171,0.144658,-6.1271,0.0262519,151.013,0.397222,128.971,20.7639,-1.28324,59.4495,3.15511,158.779,45.5225,0.562882,0.274886,0.0981098,13.102,0.626211,16.6306,3.83215,0.135087,1.09493
4,0,0.607643,1,1,0.433208,0.327002,1.00988,0.737438,0.0158677,0.392357,163.492,169.142,163.661,39.6846,34.0011,33.591,-0.700226,-0.566773,-0.348423,84.2913,-1.87009,1.06858,7.56296,1.90608,1.84528,-0.929379,-1.42484,-0.965769,67.9184,1,1.77802,19.0324,0.63053,9.36394,0.468568,1.41983,-0.0145787,101.806,0.0888889,57.7691,35.3636,-2.27483,3.177,10.1597,121.015,50.9803,0.233553,0.44088,0.0444073,97.8897,-1.27153,23.0534,15.7941,0.181701,1.02036
5,1,0.387222,1,0.480556,0.498575,0.196292,0.99023,0.394946,0.0196527,0.19422,114.137,149.894,195.629,22.9054,19.1393,8.5432,0.826241,0.395116,-0.172777,80.0527,-2.39487,-15.39,4.15045,0.90994,4.19477,0.301039,0.165768,0.696214,52.0165,1,-3.86551,40.4078,0.344877,13.0272,0.158976,4.2996,-1.8524,98.8768,0.344444,192.383,23.742,1.08292,33.1129,9.49275,76.9319,25.5931,0.524039,0.512411,0.0369238,191.47,1.00738,82.8974,4.19051,0.00813079,0.374275
6,1,0.204091,1,0.427083,0.493578,0.811311,1.14414,0.379679,0.0300281,0.522127,212.847,199.254,181.181,24.6348,26.0956,27.4912,-0.981651,-0.936772,-0.747722,90.9096,0.700239,5.51512,4.86217,0.662088,1.67165,-1.28398,1.05686,0.129598,84.8087,0.2625,-6.10339,59.4338,0.194874,7.3831,0.169428,1.07542,-0.169278,163.092,0.708333,147.745,19.7443,-5.34047,54.8374,2.2311,157.918,58.12,0.342065,0.0990368,0.0419271,152.672,-1.27216,32.4806,2.41752,0.100393,0.25638
7,1,0.0442477,0.191667,0.352778,0.917576,0.132826,0.175949,0.280866,0.0561078,0.345601,249.098,244.454,239.358,9.47751,11.9655,17.5078,-3.46283,-1.56801,-0.860946,98.4452,0.291597,1.40501,1.85361,0.534059,2.00592,-1.87411,-0.87339,0.545203,44.9023,0.152083,20.8892,20.0893,0.157138,17.9328,0.45501,0.914834,-2.69894,139.802,0.141667,152.664,27.9569,0.266184,56.6616,10.8088,113.662,16.0938,0.573983,0.270194,0.0319163,140.674,-0.500022,24.2792,17.213,0.202373,1.00283
8,1,0.00509259,0.0583333,0.147222,0.899555,0.678296,0.044179,0.145162,0.145454,0.407008,103.702,80.7307,55.2273,27.97,30.5761,32.7592,-0.108394,0.0624869,0.153751,62.8439,3.32583,18.0015,9.84881,4.03417,9.95754,-0.246413,1.58833,0.697844,77.5061,0.68125,6.74147,62.3385,0.535102,10.9757,0.514824,-0.33571,0.203292,18.9105,0.3375,138.696,43.6334,7.73716,7.69871,4.70165,160.243,47.7403,0.515793,0.402293,0.155405,89.2423,5.26044,21.4375,16.5932,0.0398264,0.586674
9,1,0.0201794,0.297917,0.225,0.206674,0.930208,0.312927,0.209978,0.103814,0.698955,126.579,96.992,84.2914,44.7214,43.4735,41.3871,-0.358542,0.41164,1.14687,67.5978,6.8553,8.1297,13.2386,4.54471,9.95266,-0.673996,0.768937,-1.57173,50.0359,0.830556,-0.173459,40.2809,0.175811,18.8302,0.24027,3.50453,1.81643,44.6007,0.28125,182.792,6.93005,1.7865,48.1269,6.67581,172.655,17.4304,0.756986,0.19319,0.0210331,169.272,2.78941,29.4154,10.2597,0.0922164,0.943689
