dataset,data_type,method,f1_score,accuracy,error_rate,train_size,test_size,problem_type,status,generated_size,f1_gain,f1_improvement,acc_gain,acc_improvement,error_reduction,error_improvement
bank-marketing,original,N/A,0.7287184284377923,0.725897920604915,0.274102079395085,8462,2116,classification,success,,,,,,,
bank-marketing,enhanced,GAN,0.7198892478080295,0.7131379962192816,0.28686200378071836,18462,2116,classification,success,10000.0,-0.00882918062976279,-1.211603863057307,-0.012759924385633337,-1.757812500000009,-0.012759924385633337,-4.655172413793129
california,original,N/A,0.8407122232916265,0.8395929246425975,0.1604070753574025,16507,4127,classification,success,,,,,,,
california,enhanced,GAN,0.8360377815451683,0.8359583232372183,0.1640416767627817,26507,4127,classification,success,10000.0,-0.004674441746458258,-0.556009728056111,-0.0036346014053791897,-0.43290043290043045,-0.0036346014053791897,-2.265861027190319
credit,original,N/A,0.6911808669656203,0.6909961112772959,0.3090038887227041,13371,3343,classification,success,,,,,,,
credit,enhanced,GAN,0.6884361893349311,0.6889021836673647,0.31109781633263534,23371,3343,classification,success,10000.0,-0.0027446776306891962,-0.3970997696650243,-0.002093927609931212,-0.30303030303030487,-0.002093927609931212,-0.6776379477250768
electricity,original,N/A,0.8657491560633601,0.8656270305393112,0.13437296946068877,30779,7695,classification,success,,,,,,,
electricity,enhanced,GAN,0.8563593627579003,0.857050032488629,0.142949967511371,40779,7695,classification,success,10000.0,-0.00938979330545986,-1.0845859033990979,-0.008576998050682239,-0.9908422158834983,-0.008576998050682239,-6.382978723404238
eye_movements,original,N/A,0.5834428383705651,0.5834428383705651,0.4165571616294349,6086,1522,classification,success,,,,,,,
eye_movements,enhanced,GAN,0.5631067961165048,0.5565045992115637,0.4434954007884363,16086,1522,classification,success,10000.0,-0.02033604225406027,-3.4855243593107805,-0.026938239159001398,-4.617117117117131,-0.026938239159001398,-6.466876971608854
heloc,original,N/A,0.6131013306038895,0.622,0.378,8000,2000,classification,success,,,,,,,
heloc,enhanced,GAN,0.629145728643216,0.631,0.369,18000,2000,classification,success,10000.0,0.016044398039326557,2.6169243546614434,0.009000000000000008,1.44694533762058,0.009000000000000008,2.3809523809523827
jannis,original,N/A,0.6994894868910617,0.6984195901354637,0.30158040986453627,46064,11516,classification,success,,,,,,,
jannis,enhanced,GAN,0.6895356895356896,0.6887808266759291,0.3112191733240709,56064,11516,classification,success,10000.0,-0.009953797355372163,-1.4230088574472548,-0.009638763459534627,-1.3800820589332434,-0.009638763459534627,-3.1960840771667374
MagicTelescope,original,N/A,0.7898847155076236,0.7888639760837071,0.21113602391629294,10700,2676,classification,success,,,,,,,
MagicTelescope,enhanced,GAN,0.779622641509434,0.7817638266068759,0.21823617339312407,20700,2676,classification,success,10000.0,-0.01026207399818968,-1.2991862985467066,-0.00710014947683113,-0.9000473709142636,-0.00710014947683113,-3.362831858407099
