fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class
218.52606,55.932064,3.3573873,0.23237082,0.17202377,-81.786316,-225.2179,-4.547287,57.85621,232.10059,0 
29.926668,10.391906,2.59275,0.40648934,0.24171235,-24.985565,-38.59738,12.402481,49.185566,65.866776,0 
103.209305,45.224327,3.7067695,0.12230652,0.09774965,70.141205,-3.3166199,7.721634,73.3595,283.4003,0 
19.728218,8.572423,2.5210657,0.5003098,0.28967905,-17.76358,-12.385864,13.792709,81.41683,162.62198,0 
266.32288,70.41811,3.6913133,0.075351484,0.081970565,-48.683075,66.92062,1.1377411,86.61557,128.46129,0 
104.83763,30.079744,3.0131383,0.20554028,0.15431064,-38.667633,-148.22751,-10.700836,56.43792,133.2171,0 
133.33237,37.592926,3.5305953,0.17589928,0.13315816,-62.145508,-43.565033,-1.957901,59.1466,262.00635,0 
187.55614,71.00359,3.9391017,0.11681621,0.100864686,36.54361,-135.4056,-4.6430664,76.780655,317.40875,0 
18.199184,11.031018,2.613098,0.3902761,0.23707543,-30.329315,-31.407043,11.135834,82.80263,91.75669,0 
12.748138,7.3738556,2.2766247,0.6842319,0.41210052,-25.640991,-31.183746,6.2610016,65.0681,97.6256,0 
167.48303,56.260372,3.7567277,0.103281945,0.096371055,8.492462,-108.98274,-29.434998,84.538574,203.54019,0 
80.21408,32.77112,3.351839,0.16949861,0.12137982,-37.793213,-24.792572,-1.0537872,26.845106,247.9654,0 
207.99516,52.937767,3.3925185,0.211486,0.17830354,-69.16794,-225.87112,-32.791,51.063766,246.0429,0 
16.201767,7.7541776,2.477735,0.5160467,0.28438368,-15.2499695,-15.728088,14.168808,65.452446,128.40224,0 
13.712793,10.133417,2.3216932,0.6406378,0.37335235,-27.39386,-12.752106,-0.01335144,56.712467,165.7825,0 
33.545868,15.418437,2.7401772,0.28449717,0.1932788,-18.435577,-39.94644,5.2773438,78.19716,145.19568,0 
145.33519,38.970154,3.3867855,0.13359268,0.103770345,36.623352,57.059967,-5.528839,70.64155,161.96864,0 
122.35143,29.23479,2.8683674,0.27973154,0.20424695,-42.014954,-177.04164,-17.360641,56.162045,158.28642,0 
248.271,57.905136,3.83,0.14195026,0.1286763,-81.32193,-205.88206,-42.549255,82.35072,208.79727,0 
16.368343,8.4636545,2.4677231,0.50787824,0.2931031,-16.705292,-26.284271,14.371368,75.67653,112.86313,0 
24.235928,12.065451,2.5686553,0.42234507,0.25544828,5.572632,-26.366913,3.0142517,88.155014,129.1792,0 
172.06044,48.10656,3.6719599,0.12301146,0.10089066,-51.769806,-133.62807,-25.297089,67.46234,204.93057,0 
34.6037,14.289628,2.780461,0.2922858,0.17458378,4.462738,-13.714294,18.121109,64.94937,143.56154,0 
50.432705,15.916682,2.8316655,0.24124408,0.15724716,21.555573,-28.010132,10.016556,71.87311,65.42111,0 
21.847185,10.745112,2.5966005,0.40949753,0.2366274,7.3003235,-1.8126221,17.577866,45.737152,145.37874,0 
176.67723,39.43307,3.4566114,0.10054639,0.09264143,55.71939,48.350006,-40.371475,83.1556,114.520645,0 
27.73666,15.052412,2.772882,0.3066347,0.19688264,-10.2456665,-15.394409,13.68396,82.10815,168.11365,0 
141.98328,40.676445,3.385586,0.13671112,0.11418232,28.940674,-138.41939,-19.793686,75.48107,166.65245,0 
23.968298,11.401132,2.5459478,0.45605123,0.28038976,-27.955292,-40.155457,6.3737793,85.723274,129.4306,0 
21.32317,8.605792,2.4686217,0.502917,0.30228642,-25.84967,-16.023987,0.1512909,77.23013,170.4454,0 
163.5431,36.70653,3.1784961,0.1864539,0.14925414,13.523102,-69.93457,-51.29683,70.938515,125.25447,0 
22.627779,7.2455907,2.435763,0.50771564,0.29849926,-6.0870667,-52.275024,16.06128,78.04896,74.02924,0 
29.966076,9.064653,2.5628355,0.4241913,0.24529102,16.262054,-33.77655,12.769272,88.10086,95.81215,0 
23.44671,10.447293,2.5343356,0.46670178,0.27578336,-5.049469,-43.503937,11.036194,78.368706,64.77121,0 
145.17497,42.60569,3.4581358,0.14166097,0.10567979,125.54666,104.60364,10.535278,74.769745,215.31586,0 
34.80948,12.383851,2.568306,0.46024078,0.27222422,-1.0289307,-32.6427,-2.5111084,63.39035,206.67085,0 
142.22423,46.94264,3.4572587,0.15361679,0.11064579,-110.75116,-77.47568,1.795166,30.412462,218.09709,0 
69.839195,22.894049,2.9232583,0.23301443,0.14939035,59.31888,-47.662292,-18.364944,84.31178,126.19032,0 
182.3115,41.076878,3.4039145,0.16434477,0.13369454,6.217621,-119.78908,-56.535492,75.81048,176.45627,0 
36.77826,12.3164835,2.6716018,0.37670633,0.24879506,30.3378,-35.385773,22.372711,88.12057,62.158836,0 
115.41873,31.64222,3.280234,0.14650224,0.11349707,133.56113,69.96088,11.184418,81.20157,164.8088,0 
29.125978,14.238733,2.7545156,0.2963143,0.17619878,2.8959045,-20.311584,13.528595,46.693768,142.32082,0 
34.752594,14.444157,2.658911,0.30089512,0.19303109,-4.6217957,-42.339813,12.971603,26.756065,101.546364,0 
210.78075,52.29082,3.710893,0.07701671,0.0767562,113.13748,53.29953,-45.24176,88.2113,137.96504,0 
194.30344,65.96868,3.8035982,0.14134954,0.124809206,-39.041046,-195.9861,5.855011,76.46819,274.47238,0 
235.0299,69.40115,3.9309266,0.1358968,0.1054472,-120.685974,-188.53105,8.595306,57.722588,268.6121,0 
22.688906,12.165703,2.5669017,0.40154198,0.23509279,-1.3790283,-30.690979,4.5039825,59.052704,185.05348,0 
19.163324,11.981962,2.5809755,0.40146497,0.23299113,-22.502045,-20.235962,15.837341,65.233246,89.60044,0 
33.771233,16.163054,2.8342323,0.28542727,0.17812331,-13.264099,-15.108887,13.534302,44.472004,199.30064,0 
59.229866,17.242338,2.8508549,0.21656027,0.11980954,23.721497,42.144928,20.882599,30.447037,163.21179,0 
52.844578,18.167994,2.8148952,0.25252455,0.16131033,16.36969,2.6887512,2.1288757,46.594166,171.34937,0 
111.15519,52.020714,3.6652377,0.13858517,0.10955003,-9.603363,-69.37146,4.68631,65.96555,250.86885,0 
166.91599,42.031452,3.3999748,0.118683755,0.10581478,-25.16806,-134.16956,-44.67241,73.38346,132.50557,0 
15.921301,10.766118,2.479154,0.5329241,0.2907815,-7.9359436,-3.7321167,2.7847748,28.975796,103.24262,0 
16.710104,11.006414,2.583046,0.4020095,0.22944918,-31.948456,-12.472382,8.685379,65.678795,89.31502,0 
157.17053,39.5853,3.1217017,0.21375836,0.16491143,-125.84735,49.66443,-17.758377,37.654804,176.37154,0 
17.57298,9.629417,2.511743,0.48883027,0.27133352,-15.811462,-28.71994,13.513672,78.14196,75.89878,0 
256.68884,68.8033,3.7458525,0.08799904,0.0922547,-30.88324,55.328857,-19.933517,86.62695,142.86806,0 
286.42398,88.668724,4.1451287,0.088480316,0.090676725,-73.72293,-235.84239,-9.611084,84.2844,199.12154,0 
300.95837,76.99502,3.7644937,0.15818705,0.14555362,-138.46829,-299.95004,-0.23448181,36.396263,209.78389,0 
11.502328,7.635901,2.3943985,0.59710914,0.32172775,-29.362213,-18.027191,8.880478,71.272644,139.47484,0 
239.69159,42.78106,3.2122297,0.09241383,0.09201373,107.22482,128.96701,-37.909103,87.63856,46.304222,0 
129.14851,35.054478,3.217176,0.15868616,0.11343833,-11.397797,55.255524,1.6681671,57.49983,173.13715,0 
109.16643,46.02927,3.6955605,0.12713851,0.110511996,112.41495,9.573822,5.0117188,83.278366,225.55994,0 
27.107029,10.0389185,2.5656753,0.4439113,0.27105007,4.855591,-35.395996,11.194717,72.739136,100.89471,0 
53.761585,17.069805,2.645922,0.33046117,0.20672698,-23.905579,-79.587265,0.2554474,82.72215,114.957405,0 
28.038464,11.939926,2.668169,0.3564394,0.2233471,-0.90063477,-23.960602,11.304825,73.80492,135.2818,0 
79.29771,32.905388,3.2104728,0.22502047,0.15417735,-25.751099,-13.6657715,-4.740967,27.763336,254.18625,0 
94.69768,27.813719,2.8223803,0.33858204,0.22158036,-32.416748,-129.62073,-2.4889069,78.527176,192.0305,0 
20.313622,7.9293737,2.492252,0.49360013,0.28493342,-18.172485,-37.40329,16.810913,76.38711,63.22367,0 
205.96266,70.58776,3.8614385,0.12369921,0.112578854,25.018463,83.795074,12.3811035,82.42756,251.23468,0 
167.34097,46.262104,3.6959648,0.109361626,0.09442846,30.356964,-4.5950317,-33.15381,85.16029,186.25581,0 
143.05066,39.4925,3.4216833,0.17385145,0.13101764,4.6820984,70.0213,4.453415,68.76115,218.67235,0 
23.54413,9.059041,2.4335315,0.48552042,0.29302588,-13.738831,-57.565796,10.061691,65.01683,64.295166,0 
200.72435,45.926884,3.4731073,0.09566299,0.08236564,152.52731,98.00885,-24.44519,86.86982,120.02641,0 
206.39082,69.74979,3.845315,0.07246115,0.07343061,72.047516,-98.67734,-24.55449,83.11878,167.4625,0 
124.38445,41.72478,3.4778152,0.1547811,0.12692127,12.304321,-107.34241,-20.755814,75.632385,222.26015,0 
16.162958,7.317615,2.4729538,0.47014213,0.27018726,-22.363922,-8.899567,11.023376,81.723434,134.08022,0 
162.59525,48.73749,3.550496,0.13123699,0.10367653,180.14676,85.09427,-12.643768,86.658455,208.39822,0 
91.05905,20.480673,2.6246738,0.3625709,0.2411538,-40.84497,-144.06885,-3.1242676,72.84009,106.794205,0 
96.23531,34.83051,3.4013472,0.13398446,0.10413424,84.569855,-9.555817,-21.313217,83.96682,196.98247,0 
244.56297,69.18901,3.9513588,0.08714904,0.07970462,-44.78299,-72.60794,-4.8994293,81.73397,197.1306,0 
10.752251,9.339089,2.3935227,0.6433184,0.36110914,-8.812927,2.2638245,3.95755,26.735434,169.8465,0 
130.68417,41.594032,3.447064,0.21228907,0.15800983,-100.70456,-98.06076,-14.655838,42.64359,266.18604,0 
35.81154,16.143702,2.6973023,0.3249669,0.20003526,-2.8851013,-49.429413,6.7526703,41.376865,157.28783,0 
200.47197,60.18972,3.7418113,0.13475302,0.10705251,-141.72833,-74.80124,6.465637,61.82111,235.8573,0 
