V1,V6,V10,V12,V13,V14,V15,Class
47,511,18,167,1,-1,0,1
47,802,8,153,4,-1,0,1
58,428,9,84,2,-1,0,1
43,1006,7,429,1,-1,0,1
45,581,8,140,1,-1,0,1
36,396,12,117,2,-1,0,1
27,172,24,88,5,-1,0,1
54,452,16,157,1,-1,0,1
39,1031,18,251,1,-1,0,1
41,798,19,208,1,-1,0,1
43,732,12,79,2,-1,0,1
44,557,17,190,1,-1,0,1
52,589,19,173,1,-1,0,1
69,498,27,109,2,-1,0,1
38,432,21,241,1,2,0,1
65,757,7,428,1,-1,0,1
53,816,16,773,2,-1,0,1
46,492,17,210,1,-1,0,1
46,683,17,208,1,-1,0,1
45,553,18,404,2,-1,0,1
32,775,18,174,2,-1,0,1
46,444,2,90,1,-1,0,1
59,207,8,152,1,0,0,1
42,1043,8,208,1,-1,0,1
49,501,9,171,1,-1,0,1
43,442,14,253,1,-1,0,1
37,1324,1,185,1,-1,0,1
38,943,25,660,1,-1,0,1
41,672,2,315,1,169,2,1
62,541,16,123,1,-1,0,1
34,394,20,153,2,-1,0,1
31,-207,2,119,1,221,1,1
41,818,15,218,1,-1,0,1
42,1193,5,228,1,-1,0,1
43,449,11,98,2,-1,0,1
30,1614,25,889,1,-1,0,1
40,2413,22,44,1,-1,0,1
43,453,26,229,1,-1,0,1
41,324,3,86,2,-1,0,1
38,1071,10,468,1,-1,0,1
33,297,9,77,1,211,1,1
53,558,11,196,1,-1,0,1
39,1289,2,343,1,-1,0,1
34,483,18,109,2,-1,0,1
43,256,25,181,2,3,0,1
57,442,14,155,1,-1,0,1
40,680,13,117,1,-1,0,1
43,542,15,459,3,-1,0,1
27,269,5,71,3,198,4,1
43,591,5,221,1,-1,0,1
53,433,16,152,1,-1,0,1
51,149,30,138,3,-1,0,1
45,692,5,147,1,267,1,1
31,244,16,184,1,197,3,1
37,472,4,203,1,-1,0,1
32,67,2,155,2,159,2,1
42,872,4,180,1,69,7,1
41,1562,1,449,1,-1,0,1
37,412,10,184,1,-1,0,1
38,1577,16,116,1,-1,0,1
35,277,5,69,2,-1,0,1
54,157,30,281,1,-1,0,1
46,17,29,58,4,19,0,1
42,748,9,197,1,118,5,1
42,576,20,396,1,-1,0,1
43,758,8,189,1,-1,0,1
32,500,12,197,1,-1,0,1
44,421,10,183,1,131,4,1
44,520,14,280,1,-1,0,1
46,900,5,118,1,-1,0,1
38,950,10,316,1,-1,0,1
51,568,20,142,1,-1,0,1
40,362,9,148,1,201,3,1
37,634,3,127,1,-1,0,1
51,591,12,92,2,-1,0,1
47,604,7,200,1,-1,0,1
33,755,25,67,3,-1,0,1
43,522,12,229,1,-1,0,1
59,1437,4,526,1,-1,0,1
45,577,5,142,1,-1,0,1
46,619,18,287,1,-1,0,1
43,803,17,170,1,-1,0,1
41,1542,22,159,1,-1,0,1
35,727,11,180,2,-1,0,1
30,83,29,150,2,-1,0,1
45,653,15,240,1,-1,0,1
48,551,5,190,1,-1,0,1
64,691,11,91,2,-1,0,1
39,388,9,144,1,-1,0,1
42,512,14,186,1,-1,0,1
43,669,4,246,1,-1,0,1
53,231,29,226,1,-1,0,1
45,702,6,71,2,56,2,1
32,205,27,209,1,-1,0,1
41,1550,23,381,1,-1,0,1
47,405,11,128,1,-1,0,1
40,840,19,367,1,-1,0,1
32,499,29,138,5,-1,0,1
45,417,8,256,1,162,4,1
49,602,19,262,1,-1,0,1
44,1789,1,97,1,200,1,1
40,190,22,57,5,-1,0,1
37,639,4,183,1,-1,0,1
51,820,21,257,1,-1,0,1
26,453,18,185,2,-1,0,1
67,295,8,93,2,-1,0,1
41,696,6,314,1,-1,0,1
30,643,2,220,2,-1,0,1
45,490,13,223,1,-1,0,1
39,1496,11,398,1,-1,0,1
49,331,28,146,2,-1,0,1
33,322,8,161,2,-1,0,1
31,441,17,148,2,-1,0,1
51,388,27,112,2,-1,0,1
36,1340,3,539,1,-1,0,1
42,996,8,426,1,-1,0,1
35,313,11,188,1,143,4,1
50,2050,22,815,1,-1,0,1
45,384,12,209,1,-1,0,1
42,937,3,298,1,76,7,1
48,1049,20,86,1,-1,0,1
41,544,16,136,2,-1,0,1
41,201,4,91,1,247,2,1
57,246,17,121,2,-1,0,1
42,959,2,281,1,0,0,1
54,245,30,230,1,-1,0,1
44,481,18,362,1,-1,0,1
39,1262,3,144,1,147,4,1
45,857,9,156,1,-1,0,1
42,780,2,155,1,131,4,1
39,346,18,93,1,5,0,1
47,493,5,193,1,-1,0,1
36,352,2,81,2,0,0,1
41,582,16,568,1,-1,0,1
42,781,3,219,1,-1,0,1
40,1043,4,264,1,-1,0,1
41,638,20,327,1,-1,0,1
39,1257,12,306,1,-1,0,1
40,170,2,84,2,144,2,1
46,885,17,132,1,-1,0,1
58,731,2,94,4,-1,0,1
44,547,8,238,1,-1,0,1
50,729,7,186,1,-1,0,1
52,413,16,235,1,-1,0,1
61,1003,20,89,3,-1,0,1
44,690,18,82,1,-1,0,1
48,1140,8,129,1,179,1,1
39,693,14,348,1,-1,0,1
44,588,2,122,1,210,1,1
64,836,3,64,2,-1,0,1
48,855,29,271,2,-1,0,1
47,561,3,357,1,-1,0,1
51,885,3,168,1,-1,0,1
38,542,19,254,1,-1,0,1
43,848,21,267,2,-1,0,1
45,616,2,85,1,-1,0,1
32,90,31,166,2,153,2,1
32,613,17,167,2,-1,0,1
59,407,21,265,2,-1,0,1
37,678,19,227,1,-1,0,1
51,374,13,146,2,-1,0,1
37,790,23,241,2,-1,0,1
41,1032,6,155,1,158,3,1
38,1215,5,496,1,-1,0,1
44,602,17,193,1,-1,0,1
63,243,15,159,2,-1,0,1
43,2979,2,260,1,205,1,1
32,-203,3,114,1,304,1,1
36,-48,31,305,2,-1,0,1
50,424,3,143,1,-1,0,1
54,605,15,91,2,-1,0,1
46,755,2,276,1,98,5,1
67,534,31,173,4,-1,0,1
47,567,3,164,1,27,1,1
40,988,5,368,1,-1,0,1
27,460,4,136,2,-1,0,1
40,833,21,245,1,-1,0,1
30,600,25,281,2,-1,0,1
45,380,24,128,2,-1,0,1
50,654,6,120,1,-1,0,1
44,615,4,200,1,-1,0,1
46,1461,21,175,1,-1,0,1
31,-42,30,240,1,-1,0,1
37,1715,6,279,1,-1,0,1
44,115,30,97,3,-1,0,1
44,524,16,253,1,-1,0,1
46,774,3,166,1,-1,0,1
62,742,15,244,2,-1,0,1
40,589,21,238,1,-1,0,1
37,280,1,149,1,-1,0,1
52,580,5,110,1,-1,0,1
31,765,4,128,2,-1,0,1
42,516,6,154,1,176,4,1
51,993,7,84,2,-1,0,1
34,494,20,222,1,-1,0,1
43,711,2,135,1,-1,0,1
43,533,7,207,1,-1,0,1
46,557,11,324,1,-1,0,1
71,580,16,80,2,-1,0,1
27,-35,8,139,2,256,3,1
48,359,9,148,1,-1,0,1
37,508,23,177,2,-1,0,1
53,433,20,118,1,-1,0,1
54,1008,24,538,2,-1,0,1
33,150,29,134,2,-1,0,1
48,619,3,114,1,-1,0,1
53,575,10,166,1,-1,0,1
46,1163,23,136,1,-1,0,1
41,584,7,218,1,158,3,1
40,796,6,325,1,-1,0,1
