MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,price_above_median
3.1489677,9.338857,6.599496,1.0608637,851.3455,1.9695526,33.73655,-116.81703,0 
4.2352343,3.5986855,4.3336043,0.94279206,770.1308,2.0189598,38.456356,-121.70033,0 
1.770505,38.929,3.3017683,1.0783468,2218.863,3.572972,37.706017,-122.17416,0 
3.8843987,10.992273,5.375234,1.1008171,5262.1763,3.7001479,38.55312,-121.44758,0 
1.7758602,20.84908,4.4120464,1.1012589,1767.7556,3.1506882,36.92636,-120.01243,0 
1.4790832,21.032616,2.9921117,0.9373168,1678.2007,2.8993263,34.064472,-117.44201,0 
1.8529283,34.073704,3.343522,0.983384,1129.862,3.1584003,33.94924,-118.04496,0 
4.313371,40.49684,5.6621275,1.0638875,1107.3966,3.9318635,37.792072,-122.186386,0 
2.6209369,10.231873,4.7270565,0.9507321,563.4468,1.6873324,37.7402,-120.902115,0 
1.4189633,34.298244,3.1100178,0.9948931,358.93854,1.4829197,32.613335,-117.03209,0 
3.7026138,40.232376,4.478345,1.0767065,2820.8538,4.1180615,33.853523,-118.14417,0 
3.0306108,5.412762,5.667299,1.0091032,1325.1984,3.1293178,34.225445,-117.43031,0 
3.6171393,34.97707,6.2025337,1.1278898,1384.0762,3.5860274,36.41572,-119.998886,0 
4.3464494,6.3547907,6.1334004,0.9631295,931.5492,2.8261724,34.362316,-117.83072,0 
4.12084,2.4088511,5.7611194,0.9138545,433.0905,1.8133847,35.828197,-118.91572,0 
4.278228,16.708332,6.246643,0.9902109,1402.3696,3.076921,37.54589,-120.73478,0 
2.6914134,8.940571,4.85644,1.0479258,1212.3894,3.4339178,35.639687,-119.20208,0 
2.2686136,37.257263,4.1413193,1.0631257,1322.3812,3.5150573,33.933514,-118.10261,0 
4.251146,3.074038,6.5569324,1.0524617,3175.5554,2.6946874,34.47829,-117.472015,0 
3.5691996,21.291079,7.586392,1.2933025,169.46413,1.1694217,37.758247,-119.89201,0 
3.789341,23.425417,5.117248,1.0238199,1289.9009,3.4318264,33.977432,-117.84222,0 
3.1600256,23.296942,4.2395353,1.1743588,2321.533,4.8598995,33.826027,-118.09783,0 
1.4088063,40.30445,4.4635544,1.0597186,674.46454,2.0580177,36.59939,-119.470535,0 
3.5592437,14.844273,5.062299,1.0164996,792.4115,1.5920129,39.505554,-121.680626,0 
2.322749,18.766487,5.0535097,0.9523028,343.98105,1.4213533,38.487495,-120.75524,0 
4.521017,12.829728,6.4009066,0.99320924,1324.0746,2.4715517,33.95045,-117.22568,0 
1.9098685,16.89201,12.953565,2.5939033,138.02567,0.92228025,34.00465,-116.26227,0 
1.3957113,43.739193,4.704724,1.2251948,1392.4645,3.5493402,33.981754,-118.15466,0 
1.7823471,23.062965,4.490946,1.0102568,731.4397,2.2077951,35.60115,-118.8813,0 
3.5657785,46.668022,5.8938518,1.0767143,659.58417,2.6281495,33.92618,-118.115715,0 
