RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
4.401115e-05,51.505848,6.1620176e-07,0.1500561,14957.694,11.16419,7.242626e-10,1.2755202,1.4618838e-10,1.565791e-08,0 
0.08399836,45.42808,1.5089564,0.025753917,4201.075,10.449294,0.003270193,0.000513356,0.000933801,4.231928e-08,0 
4.6353803e-06,75.39542,8.914368e-05,0.000136862,4876.967,8.057311,9.4572664e-07,0.000917546,0.007504128,9.7934304e-08,0 
0.004109385,38.7053,0.8657125,0.48453686,892.755,13.050644,0.000971979,1.1580793,0.3029636,4.2428203e-09,0 
0.06692655,79.78083,3.4044452,1.3764559,1660.4646,13.613683,0.019776886,0.872179,0.29457542,5.2345126e-08,0 
0.001842944,49.192604,0.000937165,0.11425028,11610.712,11.509426,3.5596713e-06,1.0532936,1.1023557e-07,1.2758425e-08,0 
0.1648094,70.22676,0.81907815,16.786098,2484.2903,19.358555,0.000507962,0.9694448,0.023548063,9.305289e-09,0 
2.320809e-05,72.830536,0.000516084,0.000492175,6230.9224,7.542036,0.000487541,0.007697885,0.001275401,2.7841198e-08,0 
0.000442455,52.55597,0.13938177,7.3006234e-08,9348.843,3.1634502,0.7616182,6.5289333e-18,0.005925349,3.5433784e-10,0 
4.121568e-05,72.311066,0.001658322,0.000107291,11046.722,5.3835597,0.000410504,1.570059e-06,7.0414103e-06,1.8554656e-08,0 
0.054166555,59.082233,0.46144328,2.0609171,2913.456,11.578948,5.8382135e-05,0.8283408,0.000409902,2.5130407e-06,0 
0.00015578,59.224964,3.225821e-07,0.34102365,7881.5503,6.7790365,2.6761326e-10,1.1344404,1.3108717e-10,1.3556021e-07,0 
0.061116353,64.787415,1.0391669,2.125954,2365.3418,9.974072,0.000167962,0.7561569,0.002207301,4.7384518e-07,0 
2.0986595e-06,38.32035,7.384569e-07,0.000457021,8022.07,9.028919,1.5695105e-09,4.619802e-05,2.0559576e-12,4.81281e-09,0 
0.016767807,72.422806,0.021529282,0.26010537,7206.816,8.445819,0.000475616,1.0854406,8.844919e-05,6.9254945e-08,0 
1.5502334,61.032272,0.007014926,6.8309317,6441.097,15.284482,0.022782858,0.9755084,0.01798657,5.0085936e-07,0 
0.010047844,64.1885,0.030113282,0.35550946,6181.4844,9.604497,3.6203797e-05,1.036494,8.26273e-06,1.5156273e-07,0 
1.8776725e-11,71.711075,9.4586326e-08,4.606389e-11,19349.652,3.702256,1.6420753e-08,4.397286e-18,2.9196676e-10,6.287914e-11,0 
0.000690123,72.91584,0.028221719,0.000228923,11074.671,2.9059799,0.008162326,2.9610737e-07,0.000144992,1.5937708e-08,0 
1.6873848,61.56801,2.3464488e-06,73.600945,3948.8948,15.130956,4.3926493e-06,1.1423373,3.064529e-05,7.006612e-07,0 
0.000314032,49.104782,4.996428e-05,0.063064314,13226.154,11.638151,3.4845e-07,1.130605,1.3201971e-08,1.3615614e-08,0 
0.000663524,63.370907,0.00067129,0.06707298,9443.373,6.7725706,1.0334609e-05,1.2626423,1.5556542e-06,6.214122e-08,0 
1.9446048e-05,75.314316,3.24787e-05,0.003514578,7371.4863,4.283726,2.2597276e-06,0.5885104,1.2239714e-05,1.5106222e-08,0 
0.000826074,60.371357,5.0804515e-06,0.8021432,10135.426,9.001061,3.6155088e-09,1.242621,1.7864267e-09,6.9314154e-08,0 
0.002149054,48.29799,0.000579861,0.22210903,2213.5413,10.746515,2.0503814e-08,0.6415031,1.9305409e-10,1.4023091e-07,0 
0.16021432,70.27235,0.47816515,6.7485704,3165.7456,11.177097,5.1456846e-06,0.77383465,1.6095813e-05,5.5173933e-07,0 
0.002787561,56.981026,0.001591432,0.27181754,12477.788,12.936988,2.6535552e-06,1.3223758,2.2784623e-07,1.9602744e-08,0 
0.002183517,63.648865,1.5314504e-07,6.32615,11821.506,13.052128,5.1478977e-12,1.1714824,1.5095193e-12,2.9336418e-08,0 
2.3055792e-08,39.79403,8.520757e-10,0.000601817,7498.7837,6.822057,8.083031e-14,0.00615577,4.830609e-16,1.0000307e-08,0 
0.008430067,70.061676,3.1409436e-06,11.924831,5124.043,11.198335,4.1866104e-11,1.0610192,4.5904773e-11,1.8264528e-07,0 
0.000640012,59.824493,0.001538005,0.004845101,12987.033,13.83696,6.710245e-05,0.000496801,1.2739208e-06,6.2325527e-09,0 
