lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,label
7024.129,214.79333,96.80636,202.60332,173.12448,161.63116,222.35437,153.56476,231.20657,51.28831,48.868164,231.88846,193.09253,559.63824,434.8798,0.35577822,0.27520382,0.024628466,5.5689263,5.3004913,0 
5671.376,167.55779,135.16818,105.03581,97.320175,176.76244,146.55437,204.98563,80.76175,45.131756,41.261063,108.61334,104.65965,0.030649753,0.20404074,0.5100608,0.32170773,0.018335817,9.972647,4.0811377,0 
4489.385,135.49106,217.95091,113.80397,101.16345,163.6148,55.84033,165.56273,27.169607,45.906338,40.143753,106.58482,101.25831,461.30624,0.21765968,0.54348564,0.6300961,0.008552802,7.702307,8.480242,0 
848.84705,27.008234,121.7165,118.76248,110.48836,192.92705,135.9139,55.12885,114.01537,30.44447,25.034672,112.86104,112.47679,1945.1974,986.27155,0.19821215,0.20385897,0.005524805,6.7262383,4.9813232,0 
3305.692,109.672485,7.211879,392.76025,689.53436,187.78305,108.04779,54.69024,104.52607,41.797565,52.177868,820.05255,315.5883,0.06620572,14.644016,0.99427176,0.844535,0.07230249,1.2235688,6.5412803,0 
675.16516,23.341911,75.609665,96.22808,90.605095,117.570206,402.5959,277.36676,364.83588,24.951086,18.648859,89.33025,91.25213,108.636604,24.262531,0.36514997,0.4330442,0.010132965,8.245182,7.4452257,0 
2552.9795,76.48077,109.05659,107.71441,97.95611,149.4179,109.34924,247.67725,114.26582,62.22016,72.98198,111.87694,107.36873,0.20578474,1.6575689,0.34141016,0.18039119,0.018474901,9.9291525,2.6806226,0 
9756.828,303.44922,57.72718,69.33694,123.657425,152.57118,217.24243,242.28818,289.6398,86.413025,34.879204,388.5218,136.73175,0.6554167,29.383512,0.5736222,0.60518193,0.07631981,1.6086481,1,0 
502.4882,16.517303,182.80675,194.458,170.91426,234.00685,159.9172,108.750244,81.8422,62.294846,53.893864,195.6937,183.11093,0.40966508,11.424479,0.23473454,0.20917928,0.034879148,2.9634,4.8340006,0 
3311.6672,103.4741,321.79346,235.83514,202.76323,287.1476,200.97739,93.59803,145.33365,114.38838,107.79111,239.16623,198.51204,30.01014,87.007805,0.6350846,0.6902269,0.023909252,1.9814186,6.75395,0 
3515.1948,102.1127,222.01495,284.87808,263.38748,236.08517,97.476585,80.367744,31.410479,60.604477,61.3266,271.40344,277.96497,15.392214,3.58523,0.34985065,1.7152785,0.017677084,9.908608,4.591283,0 
6030.3325,185.21866,170.5492,120.637665,115.78436,105.93104,133.63719,25.788467,84.546715,60.27712,53.306946,116.455475,110.953064,3.7462976,0.00504758,0.37051487,0.48169804,0.013773505,4.0241737,8.462217,0 
1988.7126,65.08684,102.016365,344.5237,268.80518,165.91138,145.01929,52.31748,225.19775,106.89766,78.56471,307.65088,245.91388,25.142294,224.99486,0.7166352,0.58380735,0.022619052,2.2415915,1.0000004,0 
7505.1377,226.86702,125.07436,136.55466,135.75397,213.09229,158.88916,230.80858,95.02731,60.84217,66.686905,138.69727,139.48593,0.3588537,0.8866116,0.2532692,0.34624505,0.01957849,6.060914,3.6424637,0 
9535.496,295.0454,94.22735,186.04218,169.55093,155.43025,135.47046,254.7093,98.38288,24.864056,21.914764,191.77573,183.06938,0.009187142,0.043826032,0.17780161,0.34010017,0.057927176,9.974462,3.8057215,0 
2919.0706,90.439445,285.21936,151.14098,147.06131,140.911,41.480385,121.00726,16.607243,46.877262,39.166588,146.74026,148.5495,881.17926,0.15129738,0.38796663,0.49502873,0.009580305,6.524136,8.144409,0 
5257.6553,157.22673,131.12009,118.796715,125.170815,254.63866,188.47389,254.3335,147.28627,20.820398,12.928414,138.8373,103.24919,2.3466096,6.7033725,0.4735837,0.3762313,0.026576163,3.6975126,7.01633,0 
