temp,atemp,hum,windspeed,casual,registered,cnt,season,yr,mnth,hr,holiday,weekday,workingday,weathersit
0.34152606,0.37309924,0.75553864,0.14698182,0.24552698,82.9437,93.74954,1,1,1,22,0,5,1,1
0.5134106,0.42260474,0.8693472,0.32200125,5.749843,79.813805,73.74958,4,0,11,21,0,2,1,2
0.47506902,0.48813057,0.5036597,0.09162573,38.239307,638.59033,638.89435,4,1,12,8,0,2,1,1
0.21551514,0.2108246,0.54749286,0.31247336,16.691454,109.62872,94.02819,1,0,1,12,0,0,0,2
0.23412326,0.2428698,0.50154835,0.3592973,0.6978466,74.03188,75.00399,1,1,1,22,0,5,1,1
0.76673716,0.71111315,0.6063173,0.22784826,115.316216,562.17035,578.89014,2,1,5,18,0,2,1,1
0.4579856,0.47307545,0.45063645,0.24680787,138.80731,259.53864,428.86276,1,1,3,12,0,0,0,1
0.2935005,0.3249628,0.6012714,0.14733508,4.4937882,236.32806,229.49954,1,1,1,19,0,2,1,1
0.8230466,0.7910035,0.55301017,0.1642962,58.65455,213.19974,294.162,3,0,8,16,0,4,1,1
0.19590203,0.19013841,0.36810246,0.35907882,0.96307415,22.998997,26.41568,1,0,1,12,0,2,1,1
0.3409473,0.32061964,0.51428396,0.18611257,23.285519,160.58592,199.15956,4,0,12,16,0,2,1,2
0.74479866,0.6526104,0.4973918,0.2994033,34.222942,84.70546,120.37274,3,0,8,13,0,4,1,1
0.5656075,0.5173255,0.56180656,0.20458628,165.04527,149.8799,289.9038,2,0,5,13,0,0,0,1
0.28241748,0.29786658,0.5693811,0.17186132,3.375867,51.819355,51.022285,1,1,1,23,0,5,1,1
0.46008155,0.46454012,0.36695033,0.18324924,157.25177,345.9499,478.72733,1,1,1,15,0,0,0,1
0.3638404,0.33876425,0.784042,0.166688,10.78223,123.22859,132.68472,4,0,11,21,0,2,1,1
0.34923765,0.3189107,0.43665835,0.2217898,29.1248,165.57298,235.83005,4,0,12,16,0,0,0,1
0.16053529,0.17078434,0.60135096,0.1546799,0.11592316,21.03881,22.369503,1,0,1,22,0,2,1,1
0.34663916,0.3897482,0.37491232,0.2590867,75.858315,234.53357,323.8706,4,1,12,15,0,0,0,1
0.19987535,0.19960961,0.25948182,0.18963857,14.503313,104.56263,133.5482,1,1,1,16,0,0,0,1
0.42767546,0.43776497,0.7675385,0.21758755,144.25523,304.4814,413.93414,1,1,3,12,0,0,0,2
0.81437284,0.6706529,0.3342636,0.2897607,100.68403,193.6443,308.32748,3,1,8,14,0,5,1,1
0.17991777,0.16806856,0.29549032,0.20057464,6.472468,88.467026,93.4971,1,1,1,22,0,0,0,1
0.13359974,0.15178435,0.49074754,0.27373356,0.17203647,11.481112,9.742126,1,0,1,14,0,4,1,1
0.5704551,0.59093827,0.5086348,0.22791809,73.49691,179.1973,216.80576,2,1,5,8,0,0,0,1
0.45021412,0.38258716,0.71267325,0.29191238,9.55155,95.96485,103.1829,4,0,11,21,0,5,1,2
0.20419131,0.19948031,0.50210285,0.22201815,3.916342,74.835075,63.875725,1,0,1,16,0,4,1,1
0.5204877,0.50797665,0.43746307,0.3138609,198.88016,216.51277,390.03625,2,1,5,12,0,0,0,1
0.20098498,0.18502946,0.55150723,0.270052,18.734308,174.60994,114.12039,1,0,1,12,0,0,0,2
0.3375105,0.3679229,0.44110182,0.25196385,38.46987,89.1239,128.63086,1,0,3,19,0,0,0,1
0.34733602,0.351257,0.433826,0.21494013,80.41647,199.98254,233.64171,1,1,1,16,0,0,0,1
0.2651125,0.21576677,0.40566516,0.18809694,49.06501,202.7347,341.38385,4,1,12,16,0,0,0,1
0.12761357,0.17197451,0.8080305,0.099156,0.0025837957,5.197929,4.963824,1,0,1,22,0,5,1,2
0.4589024,0.4459717,0.6248995,0.21299338,20.631578,252.15993,253.78604,4,1,12,19,0,2,0,1
0.14950661,0.16963437,0.58337617,0.1777659,0.1575494,39.02277,30.082354,1,0,1,22,0,4,1,1
0.19742784,0.17491719,0.30857685,0.18613957,39.7353,102.7788,151.38647,1,0,1,16,0,0,0,1
0.28788537,0.28244203,0.58406544,0.18002406,8.802016,88.71537,97.06895,1,1,12,19,0,0,0,1
0.6749874,0.6453147,0.810829,0.11095245,33.12607,162.79166,171.22823,2,1,5,21,0,2,1,1
0.24193877,0.23689133,0.43522868,0.28371295,10.210166,182.35756,210.46205,1,1,1,12,0,5,1,2
0.13116321,0.14007014,0.5397415,0.2519205,0.35164398,17.260519,12.497515,1,0,1,14,0,4,1,1
0.6598785,0.64275086,0.706659,0.14505556,49.17634,239.54463,237.12811,2,1,5,13,0,2,1,2
0.33154336,0.36000982,0.5808363,0.21777044,9.118733,186.70534,149.51385,1,1,1,16,0,4,1,1
0.7683329,0.6968739,0.50228786,0.21803868,54.605366,166.4621,191.92426,3,0,8,13,0,2,1,1
0.7980276,0.7680641,0.7945338,0.068935625,30.506952,181.57564,190.34422,3,1,8,23,0,2,1,1
0.47251776,0.427837,0.24852917,0.19983068,20.33867,86.97571,142.37064,4,0,11,12,0,2,1,1
0.16344774,0.18761899,0.633075,0.1279479,0.01063628,12.63221,10.382546,1,0,1,22,0,5,1,2
0.30031046,0.30786708,0.63388336,0.21856545,0.2911755,73.3185,83.170746,1,1,1,22,0,5,1,1
0.36964467,0.3627352,0.45561984,0.22044387,27.918312,110.183754,114.84764,1,1,12,19,0,0,0,1
0.14149062,0.15246758,0.5435632,0.20529966,0.20141423,29.918129,30.239672,1,0,1,22,0,2,1,1
0.43671745,0.41113493,0.49526906,0.28862596,61.559635,208.16655,240.98453,1,1,1,12,0,2,1,2
0.53722703,0.53876805,0.49821603,0.27268952,137.41655,128.85146,224.25107,2,0,5,19,0,0,0,1
0.31293914,0.3362376,0.43420553,0.18050157,16.733255,158.85143,195.1563,4,0,12,16,0,4,1,1
0.36044464,0.35382265,0.7246381,0.20651878,0.4678034,58.99637,58.42344,1,1,1,22,0,2,1,1
0.48497993,0.40324804,0.32510832,0.38934496,14.915681,135.70763,179.74336,4,0,11,12,0,5,1,2
0.5985497,0.5770412,0.6641842,0.2743972,220.09563,287.95596,507.22177,2,1,5,12,0,0,0,2
0.7832861,0.6931712,0.50575346,0.18323243,80.30339,266.3181,375.57242,3,1,8,14,0,5,1,1
0.68430245,0.65557235,0.5996971,0.18252015,147.24226,306.04745,420.20047,2,1,5,19,0,0,0,1
