CRIM,ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,B,LSTAT,MEDV,CHAS,RAD
3.7960436,0.8796005,25.280617,0.69540614,6.710827,48.815605,1.216398,465.36423,13.920934,378.416,2.1897266,8.022932,0,24
51.90249,99.99707,6.6082363,0.46882883,4.09038,2.9151583,12.125093,187.15375,12.83324,385.23602,3.8479974,49.997997,1,5
2.411169,1.1749411,27.621664,0.85878277,5.6107955,22.647278,1.4875336,526.8885,13.736672,364.45764,2.0806918,28.780966,0,24
88.89297,0.10038844,26.180918,0.87096024,8.778973,99.999916,1.1969285,710.9998,21.946474,0.32063246,37.969982,5.5715475,0,24
86.279976,0.23307332,13.545616,0.8655187,8.709868,99.99942,1.5764437,710.99756,21.94714,0.33766195,37.969837,5.233584,0,24
68.97582,0.23417225,26.439037,0.8560844,8.702043,99.806946,1.1567042,710.39703,18.931768,7.4018545,35.560543,5.253306,0,24
1.2281345,2.538632,2.455521,0.47455576,4.3251915,56.101475,2.135958,251.49884,18.788391,337.68283,5.437557,5.742465,0,24
1.7193253,0.78555065,1.387085,0.41299215,4.6550097,80.52249,1.7317829,272.52762,21.113657,309.92188,27.69154,5.26833,0,24
88.73602,0.08721817,23.494993,0.87074965,8.775552,99.99991,1.3266298,710.99976,21.983677,0.3206654,37.969933,5.1831975,0,24
88.06905,0.1523174,27.692781,0.87060297,8.766038,99.99615,1.1663017,710.9982,20.763887,0.42288834,37.852455,5.4247546,0,24
87.91593,0.3010943,27.618307,0.8707987,8.760111,99.9743,1.2228259,710.9967,21.63523,0.46154904,37.889732,6.062179,0,24
3.223629,98.516174,1.0494784,0.39228687,3.6209612,5.435328,10.967314,188.43916,19.38978,390.1795,6.0159793,28.748142,1,6
88.964325,0.097651966,27.727314,0.8709733,8.779341,99.99996,1.2059944,711.0,21.909607,0.32054943,37.969566,5.174893,0,24
88.974304,0.06511733,27.676052,0.87099826,8.779906,100.0,1.2022913,711.0,21.999619,0.32000175,37.97,5.151464,0,24
88.97615,100.0,2.6366887,0.38530034,3.5934331,2.9001486,12.1265,187.0228,12.912009,330.41428,10.091118,50.0,1,1
4.0010676,9.891427,0.61447394,0.38995618,4.514689,78.67424,9.755511,198.94466,16.997559,366.57275,13.571569,6.229189,0,4
0.13420086,4.2972765,12.495985,0.60393214,4.4601865,3.7880774,1.3778398,189.12784,13.557331,392.5747,2.5415819,42.78803,0,5
2.5734627,0.5207359,27.405092,0.85929465,6.2578955,39.755592,1.17541,559.739,15.93365,345.72534,2.4145184,21.971685,0,24
88.318405,0.25512984,27.72618,0.87004554,8.763675,99.98314,1.1929674,710.9992,21.61174,0.9506781,37.25799,5.4748893,0,24
1.0325232,1.729801,5.1917014,0.5372963,4.234901,51.766136,1.4618064,221.23883,18.944035,350.3566,9.088486,5.7449083,0,24
71.72449,99.98296,0.7086314,0.38554296,3.654337,3.8056042,12.124723,187.53792,15.586917,386.19922,7.230591,48.024273,1,1
11.869554,5.4845467,13.370854,0.55356747,7.4668403,61.644066,1.3925725,403.59183,13.545738,285.507,3.0090902,6.1938562,0,24
1.2979302,66.69528,0.9952494,0.3919596,3.6603913,7.0136805,10.988908,190.21875,19.549776,382.77988,4.7377944,32.410355,1,4
0.8123626,1.0072675,0.86274815,0.40812293,4.325976,63.985966,2.054806,283.63165,19.797476,352.6338,5.0628953,5.5094175,0,24
0.92634267,2.536775,9.720553,0.44763476,4.2864017,51.33634,1.2065464,231.56967,14.21141,387.30933,2.5178492,6.376298,0,4
0.22111723,1.734039,5.2243466,0.47332844,3.7894924,13.675081,3.869145,229.02841,16.157114,387.41565,3.7260196,10.304271,0,24
88.9717,99.999985,0.48594838,0.38501382,4.0143456,3.1728382,12.126498,187.16934,14.383924,377.4861,4.495885,49.869884,1,1
81.80738,99.99971,1.6724441,0.38731462,3.696794,2.9318936,12.121384,187.41559,14.00847,382.05704,5.3842235,49.99563,1,3
66.275024,0.41055655,27.666346,0.8608537,8.435015,97.39653,1.1687466,709.3738,18.219402,48.750694,17.952044,7.8936496,0,24
0.8456261,3.996718,2.6742642,0.40193912,3.7379587,39.15826,1.7233273,202.19743,15.063615,371.7979,2.97645,8.807559,0,4
40.930653,0.17777754,19.3642,0.8230713,8.473461,99.01039,1.2046156,701.4868,17.320724,16.890404,28.018127,5.4610963,0,24
14.437681,86.389824,0.69644815,0.3858128,3.797091,7.194205,9.458027,189.54727,18.15817,390.78827,3.764593,7.0958815,1,4
3.5935066,6.648957,0.53663456,0.3902124,4.3460226,82.58098,7.3306084,204.66452,20.411125,306.28036,24.914038,6.313965,0,4
58.207664,0.8334375,23.148495,0.8078387,8.447111,99.04544,1.4046257,709.58044,20.278324,12.259171,35.031845,5.180393,0,24
18.331758,0.506154,27.461287,0.8636,8.401843,77.4187,1.160491,652.5208,13.064764,283.41147,2.7344017,14.139467,0,24
0.509463,1.2249027,1.1169492,0.41064814,3.9428985,45.343555,2.3068817,227.95712,17.78543,380.56885,3.6553345,5.4451814,0,4
88.842,0.06262202,27.656855,0.87086594,8.778817,99.999596,1.1469036,710.9997,21.683064,0.32876828,37.966167,5.2554913,0,24
88.083565,0.21504927,27.550476,0.86975574,8.760212,99.99309,1.2316564,710.99884,21.670704,0.40409306,37.94094,5.206996,0,24
86.74988,0.19747128,27.722855,0.8708094,8.775523,99.89455,1.1386464,710.87164,14.765176,6.875193,26.162712,7.1711307,0,24
34.2524,95.52251,0.7437951,0.38570243,3.6863432,8.6829405,10.971726,188.36801,18.391474,390.73584,7.4613686,22.378672,1,4
