season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,0,1,0,0,6,0,1,-1.3346475,-1.0932806,0.9477679,-1.5964525,-0.80887896,-1.0021967,16
1,0,1,1,0,6,0,1,-1.4385164,-1.1817323,0.8959017,-1.5964525,-0.66525096,-0.86181766,40
1,0,1,2,0,6,0,1,-1.4385164,-1.1817323,0.8959017,-1.5964525,-0.75142777,-0.8987595,32
1,0,1,3,0,6,0,1,-1.3346475,-1.0932806,0.6365706,-1.5964525,-0.80887896,-1.0243617,13
1,0,1,4,0,6,0,1,-1.3346475,-1.0932806,0.6365706,-1.5964525,-0.8950558,-1.090857,1
1,0,1,5,0,6,0,2,-1.3346475,-1.2696021,0.6365706,-0.83837503,-0.8950558,-1.090857,1
1,0,1,6,0,6,0,1,-1.4385164,-1.1817323,0.8959017,-1.5964525,-0.8376046,-1.0982454,2
1,0,1,7,0,6,0,1,-1.5423852,-1.2696021,1.207099,-1.5964525,-0.8663302,-1.0834687,3
1,0,1,8,0,6,0,1,-1.3346475,-1.0932806,0.6365706,-1.5964525,-0.8663302,-1.0465268,8
1,0,1,9,0,6,0,1,-0.91917235,-0.7406378,0.6884368,-1.5964525,-0.66525096,-1.0539151,14
1,0,1,10,0,6,0,1,-0.6075659,-0.47644663,0.6884368,0.5500235,-0.5503485,-0.92092454,36
1,0,1,11,0,6,0,1,-0.7114347,-0.82908946,0.9477679,0.802998,-0.14819002,-0.87659436,56
1,0,1,12,0,6,0,1,-0.39982828,-0.30012524,0.74030304,0.802998,-0.062013194,-0.6918852,84
1,0,1,13,0,6,0,2,-0.19209066,-0.123803824,0.48097196,0.92906225,0.45504773,-0.7509921,94
1,0,1,14,0,6,0,2,-0.19209066,-0.123803824,0.48097196,0.802998,0.110340446,-0.5736713,106
1,0,1,15,0,6,0,2,-0.29595947,-0.21167357,0.74030304,0.92906225,0.25396848,-0.5810597,110
1,0,1,16,0,6,0,2,-0.39982828,-0.30012524,0.99963415,0.92906225,0.28269407,-0.7140503,93
1,0,1,17,0,6,0,2,-0.29595947,-0.21167357,0.99963415,0.802998,-0.46417168,-0.7140503,67
1,0,1,18,0,6,0,3,-0.39982828,-0.30012524,1.3108314,0.5500235,-0.63652533,-0.90614784,35
