CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
-0.6618461,-0.5794707,-0.86769056,0,-0.34289902,-0.6453301,-0.79210824,0.6998791,5,-1.0942366,0.81060886,0.7869881,-0.40114897,19.5
-0.6630122,-0.5794707,-0.86769056,0,-0.34289902,-0.60403526,-0.31915262,0.88554263,5,-1.0942366,0.81060886,0.6771965,-0.29273075,18.5
-0.66221166,-0.5794707,-0.86769056,0,-0.34289902,-0.3435604,-1.1121534,0.49728867,5,-1.0942366,0.81060886,0.7470639,-0.5851746,20.6
-0.65559244,-0.5794707,-0.86769056,0,-0.34289902,-0.46109173,-0.8241127,0.49728867,5,-1.0942366,0.81060886,0.7869881,-0.40970832,19.0
-0.65361667,-0.5794707,-0.86769056,0,-0.34289902,-0.48809218,-0.35826924,0.49728867,5,-1.0942366,0.81060886,0.7869881,-0.4739033,18.7
-0.6682689,2.0210345,-1.4031779,0,-0.9734971,1.5337645,-0.68542653,1.5736923,1,-0.7378796,-1.383802,0.6735193,-1.0159944,32.7
-0.6646527,-0.5794707,-1.3491914,0,-0.31698403,0.42039332,-0.31559655,1.2008176,1,0.08174144,-1.1970437,0.4224171,-0.5652029,16.5
-0.66451675,2.0210345,-1.0734228,0,-0.61068726,0.6681621,-0.43294644,0.9421751,5,-0.22710128,-0.40332058,0.7869881,-0.7749065,23.9
-0.66298807,2.0210345,-1.0734228,0,-0.61068726,0.9508726,-1.4393107,1.2968172,5,-0.22710128,-0.40332058,0.31787875,-1.1415313,31.2
-0.6627947,-0.5794707,-0.98441803,0,-0.9734971,-0.41503215,-0.713875,2.045565,3,-0.33400837,0.15695454,0.19547956,-0.29701042,17.5
-0.65358347,-0.5794707,-0.98441803,0,-0.9734971,-0.59927046,-0.57874477,2.045565,3,-0.33400837,0.15695454,-0.909265,0.008272472,17.2
-0.6665499,2.0210345,-1.0194364,0,-1.0857954,0.38227504,-1.4535348,2.297872,4,-0.33994764,-0.26325178,0.55217075,-0.8918841,23.1
-0.6676647,2.0210345,-1.3316823,0,-1.0339655,0.57127815,-1.3824137,2.2053547,4,-0.76163673,-0.68345815,0.47389832,-0.9446666,24.5
-0.66344124,2.0210345,-1.4425734,0,-1.0857954,1.0541096,-1.211723,2.422067,1,-0.4349762,0.5771609,0.4166386,-0.9589322,26.6
-0.6534354,2.0210345,-1.4425734,0,-1.0857954,0.34098026,-0.8596733,2.422067,1,-0.4349762,0.5771609,0.7869881,-0.9460932,22.9
-0.6481818,2.0210345,-1.3783733,0,-1.2412853,0.4823355,-1.1619382,2.9195716,4,0.016409323,-0.07649343,-0.58514357,-1.0159944,24.1
-0.6503146,2.0210345,-1.3783733,0,-1.2412853,-0.62150615,-1.7806921,2.9195716,4,0.016409323,-0.07649343,0.54691756,-0.68788666,18.6
-0.6670363,2.0210345,-1.3302232,0,-1.2499237,0.71898645,-1.154826,2.9195716,5,-1.31399,-0.68345815,0.133492,-1.1572235,30.1
-0.6592057,2.0210345,-1.3462732,0,-1.2240087,-0.9725119,-1.6597862,2.9195716,4,-0.44091547,1.6510215,0.046289142,-0.6507962,18.2
-0.63999766,2.0210345,-1.3462732,0,-1.2240087,-0.5389165,-1.7451315,2.9195716,4,-0.44091547,1.6510215,-0.3088261,-1.0045819,20.6
2.0416222,-0.5794707,1.0159991,1,1.8598751,-0.1005564,1.025037,-0.8036619,24,1.5309265,0.81060886,-0.22004728,0.71156436,17.8
0.49082473,-0.5794707,1.0159991,1,1.8598751,0.19009542,0.79744935,-0.61843365,24,1.5309265,0.81060886,0.49491104,0.093865804,21.7
0.8992955,-0.5794707,1.0159991,1,1.8598751,-0.23555861,0.527189,-0.5132452,24,1.5309265,0.81060886,0.70976627,-0.16148764,22.7
