MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,price_above_median
2.1407,30,4.8178,0,1356,2.5234,33.94,-118.15,0
3.2857,16,6.0085,1.0587,1296,2.8594,40.18,-117.91,0
2.6875,27,4.7356,1.0422,1627,3.0422,39.23,-118,0
1.5179,36,3.9475,0,1326,5.3103,37.9,-118,0
2.7105,46,5.5735,1.0598,633,2.8678,34.01,-120,0
4.5129,21,5.4464,0.936,1525,3.4492,352900,-121.86,0
2.6,18,4.8148,1.0391,1277,2.0452,-121,-120,0
2.5833,35,0,1.0757,956,2.7361,37,-119.27,0
3.875,17,5.2451,1.0181,1158,2.5039,-120.66,-120.55,0
3.5179,28,6.2681,0,888,2.7143,38.09,-120.86,0
2.2359,37,4.5814,1.0926,1277,0,-118.16,-120,0
1.9125,21,5.1381,1.0174,1132,3.0254,37,-117.95,0
2.9,46,4.6095,1.0366,894,0,37.93,-118.08,0
2.9135,25,4.8783,0,599,0,37.01,-115.55,0
3.5556,33,5.5105,1.0107,1178,3.027,34.08,-118.03,0
2.9271,22,4.2127,1.002,784,3.5172,34.03,-119.67,0
1.6607,31,4.0284,1.1369,1318,3.5164,33.84,-117.93,0
4.2105,32,5.1759,0,1181,3.9333,34.67,-120.99,0
2.875,32,4.8571,1.0597,810,3.8571,34.04,-117.98,0
2.7222,31,4.0309,1.0609,2320,3.2104,32.77,-117.29,0
4.0784,24,5.7273,1.0499,1344,0,34,-117.92,0
1.6667,18,4.9884,0,1410,3.4226,35,-123.22,0
3.4561,36,4.8444,0.9812,1163,3.1383,37.32,-121.99,0
2.6186,23,5.9178,0,1142,3.1788,37.8,-123.79,0
4.6136,13,6.1551,1.0349,1083,3.4847,38,-118.08,0
5.6633,8,0,1.1059,1656,2.8646,35.7,-120.05,0
1.5333,24,4.3226,0,2049,3.2134,38.16,-118.01,0
2.9167,35,3.8984,0.9748,750,0,33.9,-118.29,0
3.8462,46,0,1.0234,1134,0,41.72,-120.46,0
4.0473,8,7.5234,1.0516,1287,0,34.09,-117.05,0
4.2083,11,5.6276,1.0962,2870,2.3765,38.23,-121.9,0
4.125,29,0,1.0966,1742,3.4118,33.8,-117,0
2.8472,32,5.5286,1.0333,1182,3.5667,37.67,-117.91,0
1.6625,15,6.1558,0,841,2.9387,39.21,-116.72,0
2.0673,33,4.1238,1.0663,828,3.1288,35.33,-118.2,0
1.9345,10,4.3134,1.0609,1408,3.9167,33.24,-117.13,0
3.1875,29,4.4841,1.0243,1457,2.6164,34.06,-117.18,0
3.0278,15,4.7292,1.0597,491,3.3051,33.99,-118.08,0
3.1786,17,4.1477,1.0642,1449,2.7789,34.1,-123.63,0
2.9167,19,5.2118,1.0769,508,3.0493,36.3,-118.47,0
2.0682,32,3.9677,1.0313,1166,4.1765,36.95,-118.33,0
2.8125,32,5.4335,1.1025,487,3.2741,-119.32,-121,0
2.3512,37,4.0341,1.0197,819,2.9114,40.57,-117.2,0
2.5129,26,6.0369,1.0612,862,0,32.67,-121.33,0
4.2639,15,0,0.941,771,3.0294,36.05,-117.35,0
4.5368,6,7.0703,1.0801,1477,2.8388,32.81,0,0
2.6717,49,5.7286,1.1272,821,0,-117.38,-122.61,0
2.8194,13,5.0878,1.0627,2420,4.5696,34.07,-117.95,0
766,15,7.5667,1.0333,2280,0,34,-117.7,0
5,23,6.6275,1.0125,1170,0,38.44,-120.85,0
2.388214,7,0,1.1066,1354,3.0833,35,-120.87,0
2.9338,36,0,1.1544,1366,3.2131,34,-117.45,0
2.875,36,3.9615,1.0393,3560,3.3675,33.86,-118.05,0
4.140625,20,5.5771,0,1466,2,36.31,-121.75,0
3.0149,32,0,1.1051,1493,2.8557,37,-118.37,0
4.85,26,6.3512,1.0056,749,2.5727,35,-118.61,0
2.6389,20,5.275,1.162,878,2.5939,-120.99,-120.85,0
2,13,5.1721,1.0532,371,0,37.92,-121,0
4,35,5.8571,1.0953,692,2.7333,35.1,-118.4,0
2.2264,32,4.2325,0,2930,3.1047,36.98,-117.68,0
4,13,5.6356,1.0661,965,3.4276,38,-117.02,0
3.75,16,4.9,1.0202,2898,2.2962,37,-116.93,0
1.9148,25,3.5656,1.0875,1287,6.0988,33.83,-121.81,0
2.2232,52,4.0098,1.0526,862,2.3792,38.13,-119,0
4.5333,43,5.3304,1.0438,1719,2.1687,40,-117.96,0
2.0227,38,3.9286,0,929,4.2617,37.8,-122.16,0
2.9167,30,5.5532,0,1176,3.0902,37.82,-120.84,0
4.0529,25,0,1.027,1390,3.0782,36.01,-118.03,0
2.3304,11,4.1341,1.0479,1342,2.7383,32.8,-117.93,0
4.4774,16,0,1.0169,1837,2.9087,36,-115.1,0
3.1058,18,5.1908,1.136,1512,3.3906,-117.07,-115.5,0
3.0357,36,4.8722,1.0765,1359,2.5116,37,-118,0
