RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0,42,0,0,10500,11,0,0,0,2,0
0,32,0,2.4138,4200,17,0,1,98,0,0
0,51,98,0.5242,8500,10,0,2,0,0,0
0.0207,43,0,1.0229,1200,7,0,0,0,0,0
0,40,98,0,7500,10,0,0,0,0,0
0,34,0,0.3686,6500,7,0,0,0,2,0
0.0363,0,0,0,5000,0,0,1,0,2,0
0.0053,42,0,0.3881,7916,5,0,1,0,1,0
0,50,0,0.2591,11000,8,0,0,98,1,0
0.0232,64,9866,0.063,4166,2,0,0,0,0,0
0.9722,40,98,1.2764,6100,15,0,3,0,0,0
0,58,0,0.4057,5200,7,0,1,0,1,0
0.066,58,0,0.3832,9166,14,0,0,0,3,0
1,27,1,2200,3333,0,0,0,1,0,0
0.08,50,0,0,7000,8,0,1,0,1,0
0,59,1,0,9600,0,0,0,0,1,0
0.2335,43,9816,1.7168,8500,18,0,4,0,0,0
0.0337,47,0,2.3823,4666,6,0,0,0,2,0
0.0296,49,0,0.22,7000,0,0,0,0,2,0
0.0018,0,9834,0,4166,6,0,0,0,0,0
0,47,0,0,13166,10,0,1,0,0,0
0,63,98,1.1891,14166,0,0,0,0,0,0
0.2826,61,0,1.0434,7333,0,0,4,0,2,0
0,74,0,0,8000,0,0,1,0,0,0
0.0054,59,0,1,7000,13,0,0,98,0,0
0.077,60,0,2.0241,3320,12,0,0,0,0,0
0.0241,39,0,1.1083,9166,14,0,0,0,0,0
0,56,1,1.1344,10000,10,0,0,0,0,0
0.0384,31,0,0.1253,3200,1,0,0,98,0,0
0.0056,59,0,1.0905,7600,0,0,0,0,0,0
1.0182,49,1,223,3500,4,0,0,0,3,0
1.0399,32,2,2483,2400,0,0,0,1,0,0
0.2495,49,98,804,3200,2,0,0,0,0,0
0.0158,42,0,0.2133,4500,4,0,1,98,0,0
0.0618,53,0,0,8333,17,0,0,0,0,0
0.0051,69,0,0.0027,5833,8,0,0,0,0,0
0.3584,61,0,2.8277,4500,12,0,0,0,0,0
0.801,56,0,0.3462,4500,6,0,0,0,0,0
0,41,98,1,3500,2,0,0,0,0,0
0.6264,59,0,0.2701,8000,6,0,1,0,0,0
0.0054,62,0,0,6000,7,0,0,9818,2,0
0.0229,33,0,0,7941,7,0,2,0,2,0
0.0457,61,2,0,4450,0,0,1,0,0,0
0,39,1,0.175,4400,4,0,0,0,1,0
0.0707,0,0,2.3662,6800,14,0,1,0,2,0
0,62,0,0,5500,9,0,0,0,0,0
0.8333,35,98,1.1076,4500,0,0,1,0,0,0
0.1536,59,0,1.0842,8300,9,0,3,0,0,0
0,34,0,0,4166,7,0,1,0,2,0
0.9302,53,1,0,11666,11,0,2,98,2,0
0.7737,39,0,0.5457,4700,6,0,1,98,1,0
0.0273,61,98,0.3527,12500,8,0,2,0,1,0
0.0227,49,0,2.8132,2700,17,0,0,0,3,0
0.0675,65,0,0.172,9583,11,0,0,0,1,0
0.05,49,0,0.278,5333,7,0,1,0,2,0
0.2367,29,1,0.5135,4200,7,0,0,0,0,0
0.0707,33,0,2.0349,7083,9,0,0,0,0,0
0.1083,40,98,0.7458,6600,12,0,2,0,0,0
1,58,0,0.3767,5500,1,2,0,98,0,0
0.0136,67,0,2195.5,2500,14,0,0,9834,0,0
0,50,98,0,7966,7,0,1,0,0,0
0.0444,60,0,0.0374,0,6,0,0,0,0,0
0,34,0,0,6300,2,1,0,0,0,0
0.9334,50,0,2189.5,0,6,0,0,0,0,0
0,61,0,1.3239,8300,13,0,3,0,2,0
0,49,0,0,7500,8,0,1,0,0,0
0.8606,48,0,2275.5,0,10,0,1,98,0,0
0,49,0,1.3846,4400,12,0,2,0,2,0
0.9582,58,0,1.0939,8500,12,0,0,0,0,0
0.0227,65,0,0,6000,12,0,0,0,1,0
0.1499,51,0,0,5500,0,0,0,0,2,0
0,52,0,0,12200,8,0,3,0,2,0
0,65,98,0,8600,9,0,1,0,0,0
0.7487,45,2,0.3178,6500,10,0,0,0,0,0
0,39,0,0.5689,2750,3,0,0,0,2,0
0,0,9816,1.2394,2750,26,0,0,0,0,0
0,58,98,0,5000,9,0,0,0,0,0
0,50,98,0,6000,10,98,1,0,0,0
1,32,0,0.5262,3300,3,0,1,0,2,0
0.2611,38,0,2.1655,4500,9,0,0,0,3,0
0.008,66,98,0.011,5500,9,0,1,0,0,0
0.0434,71,0,0.0343,3995,7,0,0,0,0,0
0.0196,31,0,0.019,9583,1,0,0,9823,0,0
0.1397,32,0,1.0268,3750,9,0,0,0,1,0
0,52,0,0.3562,5000,5,0,0,0,2,0
0.0232,47,0,0,9200,11,0,0,0,3,0
0.0135,53,0,0,8500,20,0,1,0,0,0
0,52,0,0.2425,8333,8,0,1,0,1,0
0.1853,48,0,2.6869,4600,6,0,0,0,0,0
0.4103,59,0,0.237,5300,0,0,0,98,1,0
0.5457,32,0,2.3946,3000,6,0,0,0,0,0
0.0107,73,0,0.0077,8000,6,0,0,0,0,0
0.0437,69,0,0,5000,5,0,1,0,0,0
0.2914,54,0,0.5893,5283,13,0,1,0,1,0
0,39,0,3.4114,6583,5,0,1,0,4,0
0.0022,28,0,2.3354,3200,7,0,1,0,1,0
0.0157,51,0,0.2638,10500,18,0,2,1,4,0
1,53,1,0.3127,3415,2,1,0,98,0,0
0.0081,50,0,0,8500,5,0,1,0,2,0
0.5706,34,0,3.2875,5413,6,0,0,0,2,0
0.0481,0,1,2.5253,16000,12,0,0,0,0,0
1,26,0,0.013,6144,2,0,0,0,0,0
0.0237,43,0,0,4166,7,0,0,98,1,0
0.1187,36,0,1.0856,0,22,0,3,0,2,0
0.2399,47,0,0.1706,12666,0,0,2,0,1,0
0.0158,50,1,0,5200,0,0,0,0,2,0
0.2788,49,0,0,8200,14,0,3,0,2,0
0,47,0,0.8186,5500,8,0,3,0,3,0
0.7388,58,0,1.2583,14000,14,0,0,0,0,0
0.0314,40,0,2.1545,2800,3,0,0,0,1,0
0,0,0,0,6500,11,0,1,9824,0,0
0.0178,56,0,0.237,3200,6,0,0,0,3,0
0.0408,61,98,1.1436,18650,15,0,2,0,0,0
0,51,1,0,5450,7,0,0,0,0,0
0.0275,71,1,0,10500,17,0,0,0,0,0
1.0252,0,0,162.5,2735,6,0,0,9826,0,0
0.5995,37,98,0,7500,6,0,1,0,0,0
0.5477,47,0,2.3139,3200,10,0,0,0,0,0
0.0054,53,0,0.0135,8000,1,0,0,98,0,0
0.0275,43,0,0,18081,5,0,0,0,0,0
0,47,0,2.0275,7500,9,0,0,9824,0,0
0,63,98,3.0378,8400,11,0,0,0,2,0
0.3787,59,1,0,3200,12,0,0,1,0,0
0,61,0,0.3586,12166,9,0,0,1,1,0
0.9374,51,0,0.4241,4200,9,0,0,0,0,0
0.0252,31,0,0.4668,0,6,0,1,0,2,0
0.2582,43,98,0.4073,0,7,0,0,0,0,0
0,53,0,0.4167,13000,11,0,0,0,0,0
0,68,0,0.0157,7500,3,0,1,0,0,0
1.1166,52,3,1.0228,5283,4,1,0,1,1,0
0.1802,66,0,0.2071,10300,9,0,1,0,0,0
0.4154,39,98,0,2550,6,0,0,98,0,0
0.0026,44,98,1.1166,0,8,0,2,0,0,0
0,61,0,0,8400,6,0,2,0,1,0
0.2262,50,1,0.449,8333,0,0,0,0,2,0
0.0573,55,0,0,6500,16,1,2,0,0,0
0.4155,47,0,0.26,6500,15,0,1,0,0,0
0.0115,0,0,1,1600,3,0,0,9826,0,0
0.0436,56,0,0,10000,13,0,1,0,3,0
1,40,0,1.3678,4010,6,0,2,0,0,0
0,35,98,1.1462,4600,0,0,3,98,0,0
0,50,0,1.2521,2800,4,0,0,0,1,0
1,28,0,3.1088,2400,5,1,0,0,1,0
0.5032,41,0,0,6000,4,0,0,0,2,0
0.0177,56,0,0.2634,7600,7,0,0,0,1,0
0.974,42,2,0.5849,3900,14,1,0,0,2,0
1,60,0,0.4179,6333,9,0,0,0,0,0
0.0354,50,98,1.2362,0,14,0,11,0,2,0
0.048,44,98,0,5300,9,0,0,0,0,0
0.0349,51,98,2.32,2700,11,0,0,0,0,0
0,33,98,0,6500,8,0,0,0,0,0
0,42,3,1.1234,4000,11,0,2,0,0,0
0.9985,53,2,1.3823,13500,0,0,3,0,1,0
0.031,37,0,1.1605,1838,7,0,0,0,0,0
0.027,60,98,0.2847,9300,21,0,1,0,0,0
0.0151,48,1,0,4200,9,0,1,98,2,0
0.1182,67,0,0,2200,8,0,1,0,0,0
0.6265,59,0,0.3738,16000,20,0,5,98,1,0
0,59,0,0.0041,3000,1,0,0,0,0,0
0.6452,44,0,0,3500,9,0,1,0,2,0
0.0273,70,0,0.078,6200,10,0,0,0,0,0
0.0384,44,0,0.2078,17076,4,0,0,0,0,0
0.0018,42,0,1.0043,6500,14,0,2,0,1,0
0,0,0,1.0425,6000,11,0,2,0,0,0
0.9487,35,98,2.0076,3701,5,0,0,98,1,0
0.0254,56,0,0.0164,4500,8,0,0,0,1,0
0.0429,48,0,0.3335,5500,10,0,0,0,0,0
0,66,98,0,0,6,0,0,0,0,0
0,45,0,0.4161,13500,6,0,0,0,2,0
1.0498,51,0,223,5100,2,0,0,0,0,0
0.03,55,98,1.0876,8266,15,0,2,0,0,0
0.0408,44,0,2.1377,3000,4,0,1,0,0,0
0,49,0,0,5300,10,0,0,0,2,0
0.0611,73,98,0,5200,0,0,0,0,0,0
0,68,0,1.0868,2666,7,0,2,0,0,0
0.0966,31,0,0.3906,2000,10,0,1,0,0,0
0.0384,38,0,0.1876,8333,10,0,2,0,3,0
0.917,41,0,0.5187,5667,4,0,1,0,3,0
0.0067,55,98,0,7400,8,0,2,0,0,0
0,53,0,0.185,6000,10,0,0,98,0,0
0.0053,60,98,0.1739,3290,3,0,0,0,0,0
0.0743,37,1,0.5094,4583,7,0,1,0,1,0
0.0935,57,0,1.2898,7500,11,0,0,0,0,0
0.5334,49,0,0.509,4400,8,0,1,98,0,0
0,44,98,0,8333,7,0,0,0,1,0
0,45,0,0.6647,4400,8,0,0,0,0,0
0,31,0,0.48,8666,0,0,0,0,1,0
0.0205,32,0,0,5500,6,0,0,0,2,0
0.085,46,0,2.0117,2700,9,0,0,0,0,0
0.2557,46,0,1.2915,5833,7,0,2,0,3,0
0.0077,43,0,0.5886,7800,5,0,2,0,0,0
0.0134,28,0,0.0481,2200,0,0,0,0,0,0
0.9884,67,0,0.4799,6416,0,0,1,0,0,0
0,48,1,0.8163,10000,0,1,2,0,2,0
1,59,0,0.0955,3750,0,0,0,0,0,0
