date,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
0.8892,0.5319,0.0289,0.5333,0.318,0.4894,0.3768,0
0.0054,0.4681,0.0441,0.5296,0.0035,0.4229,0.4149,0
0.4513,0.3191,0.0294,0.5692,0.002,0.5536,0.489,0
0.4566,0.9574,0.0319,0.3432,0.0018,0.3814,0.7298,0
0,0.3191,0.0652,0.5827,0.0048,0.4609,0.5005,0
0,0.06,0.076301,0.672,0.005083,0.5225,0.5456,0
0,0.8085,0.0651,0.4649,0.0035,0.4043,0.4229,0
0.4043,0.44682,0.0988,0.4851,0.0035,0.4229,0.4149,0
0.4255,0.4255,0.0748,0.3731,0.0035,0.4229,0.4149,0
0.0131,0.4043,0.0896,0.5098,0.0035,0.4229,0.23,0
0,0.4043,0.0958,0.3974,0.0035,0.4229,0.4149,0
0.8983,0.5106,0.041,0.5589,0.0024,0.5394,0.673746,0
0.0136,0.38,0.0793,0.6262,0.0035,0.4229,0.4149,0
0,0.787215,0.029,0.4203,0.001346,0.3581,0.683811,0
0.2766,0,0.0773,0.572,0.0035,0.4229,0.4149,0
0.0051,0.1277,0.0752,0.1661,0.0035,0.4229,0.4149,0
0.4253,0.6809,0.0988,0.4371,0.0035,0.4229,0.4149,0
0.4255,0.446872,0.0917,0.5284,0.0035,0.4229,0.4149,0
0.893825,0.8085,0.0747,0.4527,0.0051,0.4741,0.461,0
0.4229,0.8511,0.0902,0.3103,0.0035,0.4229,0.4149,0
0.8758681,0.44682,0.0325,0.583,0.0022,0,0.4316,0
0.439,0.3404,0.0599,0.3816,0.0035,0.4229,0.4149,0
0.8764,0.893617,0.0274,0.3955,0.0008,0.4412,0.757943,0
0.4894,0.5957,0.0579,0.4586,0.0035,0.4229,0.4149,0
0.0054,0.7021,0.0561,0.4113,0,0.4229,0.4149,0
0.3404,0.5106,0.0521,0.4881,0,0.4229,0.4,0
0.9574,0.234043,0.0676,0.297,0.0035,0.4229,0.4149,0
0.4245,0.297943,0.058,0.2321,0.003535,0,0.4149,0
0.4518,0.297985,0.0416,0.5613,0.00282,0.4575,0.4386,0
0.383,0.2766,0.0896,0.4374,0.0035,0.4229,0.4149,0
0.4255,0,0.0857,0.3483,0.0035,0.4229,0.4149,0
0.023,0.2553,0.0747,0.1666,0.0035,0.4229,0.4149,0
0.0139,0.4468,0.0898,0.3879,0.00357,0.4229,0.4149,0
0.4255,0.5745,0.155,0.5256,0.0035,0.4229,0.4149,0
0.9035,0.5532,0.033,0.3432,0.0022,0.3162,0.7474,0
0.4335,0.9362,0.0613,0.5223,0.0035,0,0.4,0
0.4257,0.4681,0.0838,0.3602,0.0035,0.4229,0.4149,0
0.0051,0,0.0754,0.247,0.0035,0.4229,0.4149,0
0.0274,0.5106,0.1062,0.4884,0,0,0.4149,0
0.446851,0.8085,0.0389,0.4287,0.0025,0.3011,0.867548,0
