ExternalRiskEstimate,MSinceOldestTradeOpen,MSinceMostRecentTradeOpen,AverageMInFile,NumSatisfactoryTrades,NumTrades60Ever2DerogPubRec,NumTrades90Ever2DerogPubRec,PercentTradesNeverDelq,MSinceMostRecentDelq,MaxDelq2PublicRecLast12M,NumTotalTrades,NumTradesOpeninLast12M,PercentInstallTrades,MSinceMostRecentInqexcl7days,NumInqLast6M,NumInqLast6Mexcl7days,NetFractionRevolvingBurden,NetFractionInstallBurden,NumRevolvingTradesWBalance,NumInstallTradesWBalance,NumBank2NatlTradesWHighUtilization,PercentTradesWBalance,RiskPerformance
58,161,2,90,11,1,0,0,0,4,18,0,33,-7,0,3,58,0,3,0,0,0,0
7360,0,1,64,6,0,3,0,0,4,6,0,0,0,0,0,0,-8,0,0,-8,50,0
65,74,5,40,0,1,1,81,0,4,12,0,0,0,0,0,0,0,0,0,-8,0,0
6360,113,0,607,16,0,-904,1008,0,7,17,0,18,0,0,0,42,0,0,0,1,0,0
85,282,0,102,0,0,0,0,0,7,1760,0,18,-8,0,0,11,0,0,0,2,0,0
83,0,3,71,14,0,0,0,0,4,14,0,18,0,1,0,1,0,0,0,-8,0,0
6260,0,13,57,27,0,0,0,4,6,297,0,50,0,1,1,14,0,2,-8,0,0,0
88,198,0,86,15,0,2,100,-7,7,18,0,50,0,0,0,13,0,0,0,1,0,0
80,0,0,60,0,0,0,100,0,7,15,0,0,0,5,5,42,0,0,2,0,0,0
65,148,0,83,0,0,0,0,0,0,5,0,0,0,0,0,57,0,0,0,3,100,0
56,164,0,83,17,0,0,0,0,6,18,0,22,0,0,5,30,0,0,0,2,0,0
65,161,0,59,18,4,0,0,0,6,19,0,50,0,0,3,0,0,0,0,0,0,0
87,0,0,75,12,2,0,100,0,7,15,0,29,0,0,0,0,-8,0,0,1,0,0
88,0,0,77,0,3,0,0,0,7,12,0,0,0,0,0,0,-890,0,1,2,0,0
66,0,1,53,0,0,0,80,9,4,187,0,0,0,0,0,41,0,0,3,2,67,0
63,183,7,0,36,0,0,96,24,6,0,0,0,0,0,0,0,0,0,4,3,43,0
86,0,5,76,27,0,0,100,0,0,33,0,0,0,0,0,0,81,4,2,1,0,0
61,190,0,83,523,1,0,97,3,0,52290,0,17,0,0,0,10,0,0,0,4,0,0
81,0,13,87,7,0,0,95,0,0,7,0,0,0,0,0,1.7,0,0,2,1,0,0
6690,136,0,49,0,4,0,100,0,7,13,0,0,0,0,0,0,0,0,2,-8,0,0
-902,0,-9,-907,0,0,-9,-922,0,-98,-946,0,-9,0,-97,0,-904,0,0,0,-913,0,0
