V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,class
0.0278,0.0896,0,0.4743,0,0.9979,0,0.0304,0,0,63.65,0,45.4285,0,0,0,1.0635,0,0,0,0,0,0,0,0,0,0,66.8239,0,60.0052,0,0,9.6724,0,0,0,0,0.5889,102.272,0,-0.2566,16.7598,0,0,0,0,0.4492,0,126.52,0,0.9596,0,0,0,0
0,1,0,0,0,0,0,0.0151,0,151.052,120.447,0,0,37.38,0,0,0.0198,0,74.2416,0,0,0,0,0,-0.0303,0,0,0,1.170617,-13.5996,0,0,1.1551,0,0,0,0,0,0,0,-0.3973,3.0753,13.0798,0,0,0.5155,0,0,0,2.6103,0,10.2735,0,1.01,0
0,0,0,0,0.6981,0,0,0.0967,0,0,85.6477,80.9082,70.8987,27,0,0,0,0.4931,63.5649,0,0,0,3.0257,0,0,0,0,0,1,-1.279,0,0.3571,0,0,0,0,0,0.2833,0,0,2.1575,0,0,0,0,0.5878,0,0,133.35,0,21.8579,0,0.0266,0.4686,0
0,0,0,0,0,0,0.3038,0,0,147.901,0,0,0,17.1254,15.8578,-0.14,0,0,81.3517,0,0,0,0,0,0,0.2035,0,0,0.45,0,0,0,0,0.5281,0,1.6732,16.7585,0,129.468,0,0,31.7245,0,0,0,0,0,0.0268,0,1.0141,21.0892,0.4981,0,0,0
0.0243,0,0.2111,0,0,0,0,0,0.5549,0,0,0,0,0,22.6657,-0.4864,0,0,0,0,0,0,1.0196,0,-0.0724,0,0.1706,0,0,0,0,0,1.8592,0.3422,0,0,0,0,82.2771,0,-0.3083,0,7.6343,0,20.4763,0.5261,0,0.0188,0,-0.3744,0,0,5.9074,0,0
0,0,0,0,0,0,0,0,0,135.967,0,0,0,0,0,0,0,-0.246,72.7581,-0.1575,0,16.5707,0,0,-0.9244,0,0,0,1,0,10.601,0.1275,20.39,0,-2.0404,0,0,0,0,0,-0.5874,14.9871,0,92.6721,35.7287,0,0,0.0332,0,0,18.739,0,1,0,0
0,0,0,0.5882,0,0,0.081,0,0,0,143.548,0,27.0643,27.12,0,0.5783,0,0,0,0,0,0,0,1.6458,0,1.5531,0,24.7447,0.3521,-8.6358,0,0,0,0,0,2.0071,0,0,97.8125,0,-0.1591,0,0,0,0,0,1,0.0362,0,0,0,135.744,0.0298,0,0
0,0,29.4833,0,0.8443,0,0,0,1.0255,0,60.45,0,23.6191,0,17.8357,0.8408,0,1.38,54.8256,0,0,11.2691,0,6.1621,0,0,0,0,0.1042,0,0,0,0,0,0,0,0,0.69,116.6,0,0,0,0,130.362,0,0,0,0,0,0,48.5034,12.2301,0,0.1866,0
0,0.9354,0,0,0.7001,0,0,0,0,0,106.441,0,0,15.89861,0,0,0,0,0,0.5707,0,5.380024,0,0,0,1.1625,0,0,0.1354,-3.5492,51.1829,0,0,0,0,0,94.3651,0,0,0,3.8239,33.9256,0,0,58.049,0.327,0,0.0947,119.787,0,0,0,1,0,0
0,0,0,0,0,0.3182,0,1.0426,0,0,0,0,0,30.8256,0,0,0.7985,0,0,-1.286,0,9.0759,0,4.9963,0,0,0,0,0.5125,0,0,0,2.7341,0,0,0,133.87,0.5278,112.738,0,0,12.7274,4.4282,0,0,0.7131,0.2668,0,0,0,28.2944,0,0,0,0
0,0.9979,0,0,0,0,0.5014,1.0208,0,0,0,0,36.1699,0,0,-0.2837,-0.0368,0,0,-0.0773,0,0,0,2.0497,0,0,0,76.9776,0,18.008049,19.1604,0,0,0.1582,0,0,0,0,0,21.2614,1.6343,0,12.3332,113.486,0,0.5481,0,0,0,0,0,3.7287,0,0,0
