fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:,class
36.789,20.1234,2.789,0.3456,0.2345,-35.789,15.6789,-6.789,30.4567,150.789,0.0
20.4567,55.0123,2.3456,0.3456,0.2345,100.0,-50.9012,20.4567,20.1234,180.5678,1.0
105.3456,32.3456,3.8901,0.3456,0.2345,-100.0,27.2345,-20.0,10.8901,180.4567,0.0
18.5678,42.5678,2.2345,0.5678,0.4567,-100.0,37.4567,-20.0,30.0123,280.6789,0.0
30.6789,47.6789,2.4567,0.6789,0.5678,100.0,-42.5678,30.0,40.1234,330.789,1.0
54.9012,57.8901,2.8901,0.1234,0.0456,100.0,-52.789,30.0,60.3456,90.9012,1.0
128.456,28.934,3.245,0.289,0.142,-78.452,28.563,-12.478,18.746,220.341,0.0
142.781,31.205,3.512,0.275,0.156,45.872,32.891,8.342,22.843,180.675,0.0
122.897,26.517,3.156,0.301,0.138,-65.317,26.843,-9.673,20.874,195.786,0.0
135.629,27.843,3.387,0.254,0.121,-110.328,27.165,-18.934,15.289,240.112,0.0
150.342,33.784,4.023,0.198,0.094,95.621,36.742,14.287,10.532,210.453,1.0
68.342,14.873,2.587,0.412,0.172,22.154,18.932,-8.743,12.487,145.231,0.0
63.874,13.927,2.376,0.324,0.141,-18.456,9.876,-14.278,13.562,165.879,0.0
117.832,18.456,3.245,0.367,0.187,-85.324,-15.783,7.845,38.921,285.634,0.0
124.567,22.843,3.487,0.289,0.153,-120.456,-28.932,-4.321,42.156,221.789,0.0
139.218,25.671,3.721,0.321,0.168,-95.743,-22.154,3.876,47.832,267.415,1.0
108.925,16.932,3.128,0.412,0.203,-150.873,-35.678,-12.487,36.745,305.267,0.0
131.784,20.518,3.563,0.354,0.192,-72.689,-17.245,1.234,45.219,248.931,0.0
45.327,28.915,2.587,0.287,0.124,32.684,22.518,-10.472,16.834,210.753,0.0
52.186,31.207,2.693,0.312,0.213,-18.436,-24.751,-8.364,17.592,178.624,0.0
38.745,29.834,2.631,0.298,0.193,65.417,18.326,-11.857,18.976,152.489,0.0
41.893,30.125,2.681,0.319,0.208,28.539,-29.467,-9.275,19.845,195.327,1.0
68.924,12.587,2.435,0.381,0.154,-25.836,-14.938,-8.327,9.752,185.436,0.0
82.156,14.729,2.569,0.418,0.268,-38.614,24.731,-11.948,15.387,142.658,0.0
63.745,12.976,2.402,0.351,0.218,-17.562,8.937,-14.326,13.842,175.623,1.0
65.342,14.873,2.587,0.412,0.172,22.154,18.932,-8.743,12.487,145.231,0.0
72.219,15.692,2.534,0.456,0.163,40.283,-14.567,-6.932,11.245,205.478,0.0
58.924,12.587,2.435,0.381,0.154,-25.836,-14.938,-8.327,9.752,185.436,0.0
68.832,13.452,2.493,0.394,0.179,15.283,-21.647,-6.935,10.834,208.749,0.0
45.327,28.915,2.587,0.287,0.124,32.684,22.518,-10.472,16.834,210.753,0.0
52.186,31.207,2.693,0.312,0.213,-18.436,-24.751,-8.364,17.592,178.624,0.0
38.745,29.834,2.631,0.298,0.193,65.417,18.326,-11.857,18.976,152.489,0.0
41.893,30.125,2.681,0.319,0.208,28.539,-29.467,-9.275,19.845,195.327,0.0
140.0,30.0,3.1,0.3,0.25,55.0,-25.0,5.0,25.0,180.0,0.0
120.0,25.0,3.2,0.25,0.18,60.0,-30.0,-10.0,30.0,200.0,0.0
130.0,22.0,3.4,0.28,0.22,65.0,-22.0,-12.0,28.0,170.0,0.0
100.0,20.0,3.5,0.2,0.15,70.0,-35.0,-8.0,35.0,220.0,0.0
85.0,15.0,2.6,0.4,0.3,10.0,5.0,-15.0,14.0,160.0,0.0
70.0,14.0,2.5,0.35,0.25,-20.0,-10.0,-12.0,12.0,170.0,0.0
95.0,16.0,2.65,0.42,0.32,30.0,8.0,-20.0,10.0,180.0,0.0
90.0,15.5,2.55,0.38,0.28,25.0,12.0,-18.0,14.5,155.0,0.0
68.342,14.873,2.587,0.412,0.172,22.154,18.932,-8.743,12.487,145.231,0.0
