season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
3.0,0.0,8.0,3.0,0.0,4.0,1.0,1.0,0.34,0.3333,0.65,0.1045,11.0,19.0,30.0
3.0,1.0,8.0,19.0,0.0,1.0,1.0,2.0,0.3981,0.4061,0.7231,0.2896,17.0,22.0,39.0
4.0,1.0,11.0,1.0,0.0,4.0,1.0,1.0,0.3128,0.3212,0.5432,0.2017,18.0,18.0,36.0
4.0,0.0,10.0,4.0,0.0,3.0,1.0,1.0,0.4876,0.4765,0.7218,0.1439,11.0,25.0,36.0
2.0,0.0,6.0,8.0,0.0,1.0,1.0,2.0,0.68,0.6515,0.62,0.0896,18.0,82.0,100.0
3.0,1.0,6.0,8.0,0.0,3.0,1.0,2.0,0.55,0.55,0.65,0.1,20.0,110.0,130.0
2.0,1.0,7.0,8.0,0.0,2.0,1.0,1.0,0.7,0.65,0.5,0.1,2.0,30.0,32.0
3.0,0.0,10.0,17.0,0.0,4.0,1.0,2.0,0.5,0.48,0.7,0.2,5.0,40.0,45.0
1.0,0.0,4.0,20.0,1.0,3.0,0.0,3.0,0.4,0.35,0.85,0.3,1.0,20.0,21.0
4.0,0.0,11.0,7.0,0.0,6.0,0.0,3.0,0.44,0.42,0.78,0.22,0.0,88.0,88.0
1.0,0.0,11.0,4.0,0.0,1.0,0.0,2.0,0.28,0.27,0.87,0.15,2.0,38.0,40.0
4.0,1.0,10.0,18.0,0.0,1.0,1.0,1.0,0.6,0.57,0.5,0.15,7.0,45.0,52.0
2.0,0.0,8.0,14.0,0.0,2.0,1.0,2.0,0.52,0.55,0.58,0.18,7.0,51.0,58.0
2.0,1.0,8.0,15.0,0.0,3.0,1.0,1.0,0.64,0.6121,0.58,0.1243,6.0,47.0,53.0
4.0,0.0,10.0,7.0,0.0,1.0,1.0,2.0,0.52,0.503,0.78,0.132,3.0,37.0,40.0
3.0,1.0,7.0,20.0,0.0,4.0,1.0,1.0,0.66,0.632,0.62,0.187,9.0,58.0,67.0
2.0,1.0,7.0,15.0,0.0,0.0,0.0,1.0,0.8,0.79,0.5,0.0,120.0,200.0,320.0
3.0,1.0,5.0,17.0,0.0,3.0,1.0,1.0,0.68,0.65,0.62,0.12,25.0,300.0,325.0
