lineNo,assgNo,prevFixDur,firstfixDur,firstPassFixDur,nextFixDur,firstSaccLen,lastSaccLen,prevFixPos,landingPos,leavingPos,totalFixDur,meanFixDur,regressLen,regressDur,pupilDiamMax,pupilDiamLag,timePrtctg,titleNo,wordNo,label
10005.0,307.0,0.0,200.0,200.0,140.0,633.7153,374.5483,674.2675,144.4722,123.4828,279.0,140.0,0.0,2225.0,0.1975,0.1440,0.0187,1,1,0
3131.0,96.0,559.0,240.0,240.0,180.0,67.7309,54.3878,160.5307,99.0320,97.0535,21.0,21.0,0.0,21.0,1.7811,2.3491,0.0037,6,1,0
9359.0,291.0,100.0,81.0,81.0,100.0,297.9622,121.9154,439.8087,160.4154,151.6064,81.0,81.0,0.0,0.0,0.0892,0.2417,0.0117,6,1,0
5294.0,160.0,120.0,160.0,160.0,279.0,317.2674,74.3758,296.7365,46.1055,39.7106,160.0,160.0,855.0,100.0,0.0808,0.1403,0.0117,7,6,0
2800.0,86.0,101.0,320.0,320.0,220.0,71.0001,178.5001,106.2094,33.5961,25.5205,180.0,180.0,0.0,0.0,0.5552,1.2197,0.0163,8,1,0
3906.0,126.0,140.0,200.0,200.0,180.0,121.8357,210.1532,49.2702,84.2903,77.7871,160.0,160.0,339.0,359.0,0.1573,0.1763,0.0250,5,6,0
9452.0,294.0,299.0,180.0,180.0,100.0,125.6446,511.6333,163.0032,34.2454,36.1711,180.0,180.0,0.0,1075.0,0.1466,0.1281,0.0125,2,4,0
10327.0,316.0,200.0,140.0,220.0,100.0,81.9476,307.5588,154.1699,80.8390,79.5876,199.0,100.0,0.0,397.0,0.0183,0.1463,0.0265,4,2,0
6828.0,205.0,81.0,101.0,240.0,140.0,111.7577,162.4846,190.6208,97.7472,103.1226,140.0,140.0,0.0,379.0,0.3239,0.4084,0.0289,2,1,0
2795.0,86.0,180.0,260.0,260.0,101.0,174.4417,205.5001,30.5467,145.9423,138.0083,260.0,260.0,0.0,0.0,0.0957,0.5552,0.0236,7,3,0
9801.0,303.0,200.0,101.0,101.0,100.0,71.8026,246.0863,130.8346,59.1422,56.9152,101.0,101.0,0.0,0.0,0.1095,0.1230,0.0203,2,2,0
9463.0,294.0,160.0,299.0,299.0,140.0,468.2851,209.5403,612.2357,148.5213,125.0424,299.0,299.0,0.0,0.0,0.1271,0.2646,0.0208,7,1,0
2829.0,87.0,360.0,240.0,240.0,200.0,104.6401,101.3607,152.0034,59.6196,61.8154,240.0,240.0,0.0,718.0,0.8267,0.5077,0.0272,4,3,0
8236.0,257.0,240.0,100.0,100.0,100.0,412.2923,170.3260,532.3051,122.6738,122.1746,100.0,100.0,0.0,199.0,0.1884,0.3354,0.0086,10,2,0
5614.0,168.0,0.0,160.0,916.0,160.0,134.7172,115.2148,139.7084,53.9954,56.0319,220.0,220.0,0.0,717.0,0.0725,0.1150,0.0148,1,1,0
3128.0,96.0,180.0,559.0,559.0,240.0,310.7774,116.4341,293.7696,17.8672,41.9696,559.0,559.0,0.0,0.0,-0.2624,2.0236,0.1016,5,2,0
2538.0,79.0,121.0,380.0,380.0,360.0,1601.9860,1099.3181,404.1242,1301.8491,1267.7850,380.0,380.0,22515.0,818.0,1.1025,0.9490,0.0097,10,4,0
7818.0,241.0,220.0,180.0,280.0,220.0,334.7912,71.2639,434.1837,114.8037,110.2761,280.0,140.5,716.0,917.0,0.0371,0.1191,0.0267,4,1,0
10438.0,319.0,100.0,220.0,220.0,120.0,100.2183,0.0,83.7648,28.2260,43.9943,220.0,220.0,0.0,0.0,0.2917,0.2917,0.0468,5,6,0
1929.0,62.0,140.0,140.0,358.0,180.0,187.1512,922.2919,162.7932,27.7443,104.0195,358.0,120.0,259.0,0.0,0.0709,0.1239,0.0288,4,8,0
10028.0,307.0,81.0,120.0,120.0,180.0,416.0977,408.9391,405.0310,14.4630,31.7613,101.0,101.0,0.0,801.0,0.1940,0.5115,0.0068,8,5,0
9502.0,294.0,81.0,299.0,299.0,120.0,97.9240,87.9254,140.5422,40.9532,42.0123,100.0,100.0,8148.0,496.0,0.0481,0.1096,0.0070,3,3,0
9407.0,292.0,160.0,100.0,100.0,140.0,91.4269,69.8369,192.6508,117.5269,123.1731,100.0,100.0,0.0,140.0,0.2242,0.2822,0.0156,8,1,0
2109.0,67.0,180.0,180.0,180.0,140.0,122.1085,99.6928,104.0777,15.7055,21.5974,180.0,180.0,0.0,180.0,0.1659,0.3244,0.0180,5,1,0
1927.0,62.0,81.0,180.0,359.0,140.0,109.5565,80.5693,52.4297,67.6653,168.4516,359.0,180.0,0.0,0.0,0.1039,0.0874,0.0289,4,5,0
10224.0,312.0,140.0,120.0,239.0,81.0,127.9351,181.0063,50.7294,88.8209,68.5297,239.0,120.0,0.0,0.0,0.1127,0.1647,0.0300,5,3,0
6219.0,184.0,140.0,140.0,239.0,200.0,334.5241,117.0098,250.3934,81.6227,35.6158,239.0,120.0,379.0,0.0,-0.0029,0.1216,0.0230,5,4,0
10223.0,312.0,120.0,140.0,140.0,120.0,205.7103,127.9351,133.0607,77.3693,83.0001,140.0,140.0,0.0,0.0,0.1457,0.1037,0.0176,5,2,0
2098.0,67.0,140.0,240.0,240.0,100.0,197.5205,51.3241,219.0735,63.8432,64.6731,81.0,81.0,300.0,280.0,0.1504,0.1659,0.0081,1,1,0
9122.0,287.0,81.0,140.0,140.0,160.0,265.5469,399.0029,167.0754,102.6133,96.0843,140.0,140.0,0.0,0.0,0.0542,0.2062,0.0155,7,4,0
8561.0,272.0,180.0,120.0,120.0,140.0,328.5337,307.9406,250.3392,81.5063,95.3836,120.0,120.0,0.0,0.0,0.1842,0.3312,0.0212,4,4,0
2796.0,86.0,260.0,101.0,101.0,320.0,205.5001,561.7070,149.0305,56.5204,63.8829,101.0,101.0,0.0,0.0,0.1732,0.5832,0.0092,7,4,0
9966.0,307.0,180.0,81.0,81.0,140.0,160.6599,183.4967,96.0475,61.1042,48.5658,81.0,81.0,0.0,1273.0,0.2010,0.3745,0.0055,5,3,0
3948.0,128.0,140.0,100.0,100.0,220.0,286.3004,565.6073,258.8566,32.1971,36.5107,100.0,100.0,599.0,0.0,0.1321,0.2151,0.0132,4,6,0
1032.0,32.0,220.0,81.0,81.0,160.0,143.6483,95.7630,81.0501,67.4173,64.2654,81.0,81.0,1373.0,160.0,0.1264,0.1199,0.0070,3,3,0
2780.0,86.0,260.0,280.0,280.0,21.0,183.3905,71.0875,227.4907,61.0834,74.6818,280.0,280.0,0.0,0.0,-0.2743,-0.0098,0.0254,3,1,0
6050.0,180.0,140.0,259.0,398.0,220.0,359.2305,148.6433,404.2990,57.9957,137.4442,398.0,199.5,0.0,0.0,0.0806,0.0271,0.0426,4,1,0
7810.0,241.0,160.0,200.0,200.0,299.0,438.7926,176.3091,543.1966,115.0396,115.5045,200.0,200.0,0.0,200.0,0.0256,-0.0034,0.0191,6,2,0
