RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents,SeriousDlqin2yrs
0.016619686,57.0,0.0,0.316504031,2356.0,17.0,0.0,2.0,0.0,0.0,0.0
0.0,28.0,0.0,0.561998766,1620.0,8.0,0.0,0.0,0.0,0.0,1.0
0.410095228,32.0,0.0,0.616676665,5000.0,15.0,0.0,1.0,0.0,0.0,1.0
0.440177991,79.0,0.0,0.61517492,2200.0,5.0,0.0,1.0,0.0,0.0,0.0
0.0,69.0,0.0,0.487405038,2500.0,16.0,0.0,2.0,0.0,0.0,0.0
0.0,36.0,0.0,0.747061208,2466.0,5.0,2.0,1.0,0.0,0.0,1.0
0.0,52.0,0.0,0.591520165,2900.0,7.0,1.0,1.0,0.0,0.0,1.0
0.0,28.0,3.0,0.805542935,2200.0,14.0,2.0,0.0,0.0,1.0,1.0
0.017810329,52.0,0.0,0.626168224,3530.0,14.0,0.0,2.0,0.0,3.0,0.0
0.008158998,63.0,0.0,0.45067362,2300.0,16.0,0.0,1.0,0.0,0.0,0.0
0.9999999,70.0,0.0,0.79181338,2271.0,2.0,0.0,1.0,0.0,0.0,0.0
0.316373262,71.0,0.0,0.549633578,1500.0,17.0,0.0,1.0,0.0,0.0,1.0
0.013028775,74.0,0.0,1.263131313,1979.0,14.0,0.0,2.0,0.0,0.0,0.0
0.03606245,70.0,0.0,0.788105947,2000.0,18.0,1.0,1.0,0.0,0.0,1.0
0.344823292,36.0,0.0,0.500499833,3000.0,17.0,0.0,1.0,0.0,0.0,1.0
0.041197254,28.0,0.0,0.615353858,2500.0,14.0,0.0,1.0,0.0,1.0,0.0
0.271996769,40.0,0.0,0.84376157,2700.0,17.0,0.0,1.0,0.0,0.0,0.0
0.507279612,61.0,0.0,0.597810566,2100.0,16.0,0.0,0.0,0.0,0.0,0.0
0.127134961,30.0,0.0,0.601654032,1450.0,7.0,0.0,0.0,0.0,2.0,0.0
0.000602003,69.0,0.0,3.312134218,2562.0,28.0,0.0,1.0,0.0,0.0,0.0
0.019578524,28.0,0.0,0.423192269,3000.0,4.0,0.0,1.0,0.0,1.0,0.0
0.0,35.0,2.0,0.628092977,4000.0,6.0,0.0,1.0,0.0,2.0,1.0
0.002557293,63.0,0.0,0.334266293,2500.0,7.0,0.0,0.0,0.0,0.0,0.0
0.026555705,39.0,0.0,0.580066656,6300.0,15.0,0.0,2.0,0.0,2.0,0.0
0.895835813,65.0,0.0,3.787535411,2470.0,17.0,0.0,0.0,0.0,0.0,0.0
0.635748138,37.0,0.0,0.52567015,2200.0,20.0,0.0,0.0,0.0,0.0,1.0
0.021691891,94.0,0.0,0.854389722,1400.0,7.0,0.0,1.0,0.0,0.0,0.0
